day,city,flow
202008270115,4HS-惠水雅水LZB-YZ-1_0,19622.09
202008270120,4HS-惠水雅水LZB-YZ-1_0,18351.98
202008270125,4HS-惠水雅水LZB-YZ-1_0,17547.08
202008270130,4HS-惠水雅水LZB-YZ-1_0,17146.79
202008270135,4HS-惠水雅水LZB-YZ-1_0,16050.06
202008270140,4HS-惠水雅水LZB-YZ-1_0,15436.44
202008270145,4HS-惠水雅水LZB-YZ-1_0,14799.79
202008270150,4HS-惠水雅水LZB-YZ-1_0,14184.80
202008270155,4HS-惠水雅水LZB-YZ-1_0,13585.62
202008270200,4HS-惠水雅水LZB-YZ-1_0,13103.18
202008270205,4HS-惠水雅水LZB-YZ-1_0,12455.38
202008270210,4HS-惠水雅水LZB-YZ-1_0,11942.51
202008270215,4HS-惠水雅水LZB-YZ-1_0,11780.16
202008270220,4HS-惠水雅水LZB-YZ-1_0,11401.41
202008270225,4HS-惠水雅水LZB-YZ-1_0,10609.08
202008270230,4HS-惠水雅水LZB-YZ-1_0,10310.50
202008270235,4HS-惠水雅水LZB-YZ-1_0,9920.02
202008270240,4HS-惠水雅水LZB-YZ-1_0,9532.54
202008270245,4HS-惠水雅水LZB-YZ-1_0,9123.18
202008270250,4HS-惠水雅水LZB-YZ-1_0,8876.48
202008270255,4HS-惠水雅水LZB-YZ-1_0,8617.14
202008270300,4HS-惠水雅水LZB-YZ-1_0,8343.76
202008270305,4HS-惠水雅水LZB-YZ-1_0,8019.23
202008270310,4HS-惠水雅水LZB-YZ-1_0,7730.33
202008270315,4HS-惠水雅水LZB-YZ-1_0,7543.75
202008270320,4HS-惠水雅水LZB-YZ-1_0,7360.19
202008270325,4HS-惠水雅水LZB-YZ-1_0,7098.41
202008270330,4HS-惠水雅水LZB-YZ-1_0,6904.25
202008270335,4HS-惠水雅水LZB-YZ-1_0,6718.06
202008270340,4HS-惠水雅水LZB-YZ-1_0,6582.51
202008270345,4HS-惠水雅水LZB-YZ-1_0,6490.43
202008270350,4HS-惠水雅水LZB-YZ-1_0,6495.02
202008270355,4HS-惠水雅水LZB-YZ-1_0,5988.54
202008270400,4HS-惠水雅水LZB-YZ-1_0,5918.51
202008270405,4HS-惠水雅水LZB-YZ-1_0,5965.09
202008270410,4HS-惠水雅水LZB-YZ-1_0,5605.48
202008270415,4HS-惠水雅水LZB-YZ-1_0,5797.12
202008270420,4HS-惠水雅水LZB-YZ-1_0,5449.11
202008270425,4HS-惠水雅水LZB-YZ-1_0,5353.32
202008270430,4HS-惠水雅水LZB-YZ-1_0,5265.38
202008270435,4HS-惠水雅水LZB-YZ-1_0,5269.74
202008270440,4HS-惠水雅水LZB-YZ-1_0,5160.89
202008270445,4HS-惠水雅水LZB-YZ-1_0,5165.53
202008270450,4HS-惠水雅水LZB-YZ-1_0,5140.23
202008270455,4HS-惠水雅水LZB-YZ-1_0,5084.15
202008270500,4HS-惠水雅水LZB-YZ-1_0,5177.76
202008270505,4HS-惠水雅水LZB-YZ-1_0,5191.56
202008270510,4HS-惠水雅水LZB-YZ-1_0,5192.00
202008270515,4HS-惠水雅水LZB-YZ-1_0,5327.35
202008270520,4HS-惠水雅水LZB-YZ-1_0,5657.94
202008270525,4HS-惠水雅水LZB-YZ-1_0,5575.34
202008270530,4HS-惠水雅水LZB-YZ-1_0,5724.35
202008270535,4HS-惠水雅水LZB-YZ-1_0,5953.27
202008270540,4HS-惠水雅水LZB-YZ-1_0,6169.09
202008270545,4HS-惠水雅水LZB-YZ-1_0,6407.51
202008270550,4HS-惠水雅水LZB-YZ-1_0,6798.79
202008270555,4HS-惠水雅水LZB-YZ-1_0,7127.10
202008270600,4HS-惠水雅水LZB-YZ-1_0,7721.05
202008270605,4HS-惠水雅水LZB-YZ-1_0,8165.92
202008270610,4HS-惠水雅水LZB-YZ-1_0,8782.86
202008270615,4HS-惠水雅水LZB-YZ-1_0,9381.23
202008270620,4HS-惠水雅水LZB-YZ-1_0,10168.22
202008270625,4HS-惠水雅水LZB-YZ-1_0,10997.36
202008270630,4HS-惠水雅水LZB-YZ-1_0,11950.70
202008270635,4HS-惠水雅水LZB-YZ-1_0,13212.80
202008270640,4HS-惠水雅水LZB-YZ-1_0,13761.91
202008270645,4HS-惠水雅水LZB-YZ-1_0,14604.34
202008270650,4HS-惠水雅水LZB-YZ-1_0,15522.53
202008270655,4HS-惠水雅水LZB-YZ-1_0,16256.77
