TIME_ID,AREA_ID,AREA_NAME,COUNTY_NAME|LTE_FLOW_MB
202002020310,850,贵安新区,贵安新区,113598.21
202002020310,851,贵阳,云岩区,381233.24
202002020310,851,贵阳,南明区,259862.65
202002020310,851,贵阳,清镇市,325350.65
202002020310,851,贵阳,小河区,246058.33
202002020310,851,贵阳,观山湖区,201535.45
202002020310,851,贵阳,开阳县,197874.12
202002020310,851,贵阳,花溪区,231619.73
202002020310,851,贵阳,白云区,192121.54
202002020310,851,贵阳,乌当区,168491.38
202002020310,851,贵阳,修文县,139262.73
202002020310,851,贵阳,息烽县,109884.19
202002020310,852,遵义,播州区,356025.69
202002020310,852,遵义,仁怀市,371529.46
202002020310,852,遵义,习水县,286874.54
202002020310,852,遵义,桐梓县,276604.45
202002020310,852,遵义,汇川区,236777.86
202002020310,852,遵义,红花岗区,268047.83
202002020310,852,遵义,正安县,204483.37
202002020310,852,遵义,绥阳县,183383.24
202002020310,852,遵义,湄潭县,171975.97
202002020310,852,遵义,凤冈县,159038.56
202002020310,852,遵义,务川县,149375.78
202002020310,852,遵义,新蒲区,159459.62
202002020310,852,遵义,道真县,100657.21
202002020310,852,遵义,赤水市,91447.05
202002020310,852,遵义,余庆县,91649.66
202002020310,853,安顺,西秀区,528014.73
202002020310,853,安顺,普定县,237832.72
202002020310,853,安顺,镇宁县,220262.14
202002020310,853,安顺,紫云县,171109.71
202002020310,853,安顺,关岭县,165062.76
202002020310,853,安顺,平坝县,180347.68
202002020310,854,黔南,瓮安县,231545.13
202002020310,854,黔南,都匀市,258047.61
202002020310,854,黔南,惠水县,274734.42
202002020310,854,黔南,福泉市,157522.89
202002020310,854,黔南,罗甸县,170293.02
202002020310,854,黔南,三都县,161223.75
202002020310,854,黔南,独山县,153103.52
202002020310,854,黔南,平塘县,152671.19
202002020310,854,黔南,贵定县,153808.47
202002020310,854,黔南,龙里县,165566.09
202002020310,854,黔南,长顺县,178356.14
202002020310,854,黔南,荔波县,85098.01
202002020310,855,黔东南,凯里市,396892.52
202002020310,855,黔东南,黎平县,335878.57
202002020310,855,黔东南,榕江县,215903.35
202002020310,855,黔东南,黄平县,175947.06
202002020310,855,黔东南,从江县,194116.62
202002020310,855,黔东南,天柱县,137843.97
202002020310,855,黔东南,剑河县,139879.20
202002020310,855,黔东南,镇远县,133082.87
202002020310,855,黔东南,三穗县,115243.34
202002020310,855,黔东南,锦屏县,100667.04
202002020310,855,黔东南,岑巩县,110913.87
202002020310,855,黔东南,施秉县,100727.52
202002020310,855,黔东南,雷山县,105334.18
202002020310,855,黔东南,台江县,98263.21
202002020310,855,黔东南,丹寨县,86405.26
202002020310,855,黔东南,麻江县,74178.52
202002020310,856,铜仁,松桃县,299465.34
202002020310,856,铜仁,思南县,255050.05
202002020310,856,铜仁,德江县,261997.61
202002020310,856,铜仁,沿河县,214573.16
202002020310,856,铜仁,石阡县,194249.55
202002020310,856,铜仁,印江县,197666.63
202002020310,856,铜仁,碧江区,189326.73
202002020310,856,铜仁,江口县,104590.86
202002020310,856,铜仁,玉屏县,84465.90
202002020310,856,铜仁,万山区,62308.31
202002020310,857,毕节,威宁县,586337.66
202002020310,857,毕节,毕节市,704301.91
202002020310,857,毕节,织金县,590434.13
202002020310,857,毕节,黔西县,455858.15
202002020310,857,毕节,纳雍县,425125.28
202002020310,857,毕节,大方县,446757.28
202002020310,857,毕节,赫章县,449669.56
202002020310,857,毕节,金沙县,316174.73
202002020310,857,毕节,金海湖新区,138202.84
202002020310,858,六盘水,盘州,365783.97
202002020310,858,六盘水,钟山区,330952.41
202002020310,858,六盘水,水城县,280795.51
202002020310,858,六盘水,六枝县,220631.26
202002020310,859,黔西南,兴义市,329656.42
202002020310,859,黔西南,兴仁市,229333.70
202002020310,859,黔西南,安龙县,158818.01
202002020310,859,黔西南,贞丰县,165957.11
202002020310,859,黔西南,普安县,125940.42
202002020310,859,黔西南,望谟县,147076.81
202002020310,859,黔西南,晴隆县,129760.26
202002020310,859,黔西南,册亨县,96449.69
