w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912162015:2149.1605224609375, 201912162020:2153.2682495117188, 201912162025:2157.3759765625, 201912162030:2161.4837036132812, 201912162035:2165.5914001464844, 201912162040:2169.6991271972656, 201912162045:2173.806854248047, 201912162050:2177.914581298828, 201912162055:2182.0223083496094, 201912162100:2209.342071533203, 201912162105:2213.4497985839844, 201912162110:2217.5575256347656, 
201912162020:2158.1334228515625, 201912162025:2162.989013671875, 201912162030:2167.8446350097656, 201912162035:2172.700225830078, 201912162040:2177.5558166503906, 201912162045:2182.4114379882812, 201912162050:2187.2670288085938, 201912162055:2192.1226196289062, 201912162100:2211.7508239746094, 201912162105:2216.6064453125, 201912162110:2221.4620361328125, 201912162115:2226.317626953125, 
201912162025:2147.2159729003906, 201912162030:2151.6370544433594, 201912162035:2156.058135986328, 201912162040:2160.479217529297, 201912162045:2164.9002990722656, 201912162050:2169.3213806152344, 201912162055:2173.742462158203, 201912162100:2197.0384826660156, 201912162105:2201.4595642089844, 201912162110:2205.880645751953, 201912162115:2210.301727294922, 201912162120:2214.7228088378906, 
201912162030:2147.6737365722656, 201912162035:2151.1024475097656, 201912162040:2154.5311584472656, 201912162045:2157.9598693847656, 201912162050:2161.3885803222656, 201912162055:2164.8172912597656, 201912162100:2199.451690673828, 201912162105:2202.880401611328, 201912162110:2206.309112548828, 201912162115:2209.737823486328, 201912162120:2213.166534423828, 201912162125:2216.595245361328, 
201912162035:2156.375213623047, 201912162040:2161.248260498047, 201912162045:2166.121307373047, 201912162050:2170.994354248047, 201912162055:2175.867431640625, 201912162100:2193.9051513671875, 201912162105:2198.7781982421875, 201912162110:2203.6512451171875, 201912162115:2208.5242919921875, 201912162120:2213.3973388671875, 201912162125:2218.2704162597656, 201912162130:2223.1434631347656, 
201912162040:2167.6845703125, 201912162045:2171.878936767578, 201912162050:2176.0733337402344, 201912162055:2180.2677307128906, 201912162100:2207.1590881347656, 201912162105:2211.353485107422, 201912162110:2215.5478515625, 201912162115:2219.7422485351562, 201912162120:2223.9366455078125, 201912162125:2228.1310424804688, 201912162130:2232.325408935547, 201912162135:2236.519805908203, 
201912162045:2166.8909912109375, 201912162050:2170.8282165527344, 201912162055:2174.765411376953, 201912162100:2203.1239013671875, 201912162105:2207.0611267089844, 201912162110:2210.9983520507812, 201912162115:2214.935577392578, 201912162120:2218.872772216797, 201912162125:2222.8099975585938, 201912162130:2226.7472229003906, 201912162135:2230.6844482421875, 201912162140:2234.6216735839844, 
201912162050:2181.053741455078, 201912162055:2185.3701171875, 201912162100:2210.5473022460938, 201912162105:2214.8636779785156, 201912162110:2219.1800842285156, 201912162115:2223.4964599609375, 201912162120:2227.8128662109375, 201912162125:2232.1292419433594, 201912162130:2236.4456481933594, 201912162135:2240.7620544433594, 201912162140:2245.0784301757812, 201912162145:2249.3948364257812, 
201912162055:2177.712677001953, 201912162100:2210.424835205078, 201912162105:2214.1048278808594, 201912162110:2217.7847900390625, 201912162115:2221.4647521972656, 201912162120:2225.144744873047, 201912162125:2228.82470703125, 201912162130:2232.5046997070312, 201912162135:2236.1846618652344, 201912162140:2239.8646240234375, 201912162145:2243.5446166992188, 201912162150:2247.224578857422, 
201912162100:2224.6265258789062, 201912162105:2228.4666442871094, 201912162110:2232.3067321777344, 201912162115:2236.1468505859375, 201912162120:2239.9869384765625, 201912162125:2243.8270263671875, 201912162130:2247.6671447753906, 201912162135:2251.5072326660156, 201912162140:2255.3473510742188, 201912162145:2259.1874389648438, 201912162150:2263.0275268554688, 201912162155:2266.867645263672, 
201912162105:2208.5438232421875, 201912162110:2212.954071044922, 201912162115:2217.3643188476562, 201912162120:2221.7745666503906, 201912162125:2226.184814453125, 201912162130:2230.5950622558594, 201912162135:2235.0053100585938, 201912162140:2239.415557861328, 201912162145:2243.8258056640625, 201912162150:2248.236053466797, 201912162155:2252.6463012695312, 201912162200:2277.5409545898438, 
201912162110:2224.750457763672, 201912162115:2229.5213623046875, 201912162120:2234.2922973632812, 201912162125:2239.063201904297, 201912162130:2243.8341369628906, 201912162135:2248.6050415039062, 201912162140:2253.3759765625, 201912162145:2258.1469116210938, 201912162150:2262.9178161621094, 201912162155:2267.688751220703, 201912162200:2288.5487670898438, 201912162205:2293.3197021484375, 
201912162115:2225.4259033203125, 201912162120:2229.345977783203, 201912162125:2233.2660522460938, 201912162130:2237.1861267089844, 201912162135:2241.106201171875, 201912162140:2245.0263061523438, 201912162145:2248.9463806152344, 201912162150:2252.866455078125, 201912162155:2256.7865295410156, 201912162200:2286.4898071289062, 201912162205:2290.409881591797, 201912162210:2294.3299560546875, 
201912162120:2223.5259399414062, 201912162125:2226.886688232422, 201912162130:2230.2474517822266, 201912162135:2233.6082153320312, 201912162140:2236.968963623047, 201912162145:2240.3297271728516, 201912162150:2243.6904907226562, 201912162155:2247.051239013672, 201912162200:2282.7384185791016, 201912162205:2286.099166870117, 201912162210:2289.459930419922, 201912162215:2292.8206939697266, 
201912162125:2232.074966430664, 201912162130:2235.394256591797, 201912162135:2238.7135314941406, 201912162140:2242.0328063964844, 201912162145:2245.352096557617, 201912162150:2248.671371459961, 201912162155:2251.9906463623047, 201912162200:2289.1270904541016, 201912162205:2292.4463806152344, 201912162210:2295.765655517578, 201912162215:2299.084930419922, 201912162220:2302.4042205810547, 
201912162130:2230.173126220703, 201912162135:2234.0685119628906, 201912162140:2237.9639282226562, 201912162145:2241.8593139648438, 201912162150:2245.7547302246094, 201912162155:2249.650115966797, 201912162200:2279.9276733398438, 201912162205:2283.8230590820312, 201912162210:2287.718475341797, 201912162215:2291.6138610839844, 201912162220:2295.50927734375, 201912162225:2299.4046936035156, 
201912162135:2239.7083892822266, 201912162140:2242.4683380126953, 201912162145:2245.228302001953, 201912162150:2247.988250732422, 201912162155:2250.7481994628906, 201912162200:2293.8240814208984, 201912162205:2296.584030151367, 201912162210:2299.343978881836, 201912162215:2302.1039428710938, 201912162220:2304.8638916015625, 201912162225:2307.6238403320312, 201912162230:2310.383804321289, 
