201912161530:3431.1771240234375, 201912161535:3438.62109375, 201912161540:3446.0650634765625, 201912161545:3453.5090942382812, 201912161550:3460.9530639648438, 201912161555:3468.3970336914062, 201912161600:3534.1231079101562, 201912161605:3541.567138671875, 201912161610:3549.0111083984375, 201912161615:3556.455078125, 201912161620:3563.8990478515625, 201912161625:3571.3430786132812, 
201912161535:3447.2491760253906, 201912161540:3453.0037231445312, 201912161545:3458.758270263672, 201912161550:3464.5128479003906, 201912161555:3470.2673950195312, 201912161600:3553.2361755371094, 201912161605:3558.990753173828, 201912161610:3564.7453002929688, 201912161615:3570.4998474121094, 201912161620:3576.25439453125, 201912161625:3582.0089416503906, 201912161630:3587.7634887695312, 
201912161540:3485.4910888671875, 201912161545:3493.5698852539062, 201912161550:3501.6486206054688, 201912161555:3509.7274169921875, 201912161600:3570.2418823242188, 201912161605:3578.3206787109375, 201912161610:3586.3994750976562, 201912161615:3594.478271484375, 201912161620:3602.5570678710938, 201912161625:3610.6358642578125, 201912161630:3618.7146606445312, 201912161635:3626.79345703125, 
201912161540:3469.1876220703125, 201912161545:3476.1062622070312, 201912161550:3483.0249633789062, 201912161555:3489.943603515625, 201912161600:3565.1300659179688, 201912161605:3572.0487060546875, 201912161610:3578.9674072265625, 201912161615:3585.8860473632812, 201912161620:3592.8047485351562, 201912161625:3599.7234497070312, 201912161630:3606.64208984375, 201912161635:3613.560791015625, 
201912161540:3435.4140625, 201912161545:3440.761993408203, 201912161550:3446.1099243164062, 201912161555:3451.4578247070312, 201912161600:3539.565704345703, 201912161605:3544.913604736328, 201912161610:3550.2615356445312, 201912161615:3555.6094665527344, 201912161620:3560.9573974609375, 201912161625:3566.3052978515625, 201912161630:3571.6532287597656, 201912161635:3577.0011596679688, 
201912161545:3457.5958557128906, 201912161550:3462.7757873535156, 201912161555:3467.9557495117188, 201912161600:3557.703369140625, 201912161605:3562.883331298828, 201912161610:3568.063262939453, 201912161615:3573.2432250976562, 201912161620:3578.4231872558594, 201912161625:3583.6031188964844, 201912161630:3588.7830810546875, 201912161635:3593.9630126953125, 201912161640:3599.1429748535156, 
201912161550:3464.453582763672, 201912161555:3469.7451782226562, 201912161600:3560.8384399414062, 201912161605:3566.1300354003906, 201912161610:3571.421630859375, 201912161615:3576.7132263183594, 201912161620:3582.0048217773438, 201912161625:3587.296417236328, 201912161630:3592.5880126953125, 201912161635:3597.879608154297, 201912161640:3603.1712036132812, 201912161645:3608.4627990722656, 
201912161555:3482.505615234375, 201912161600:3553.967529296875, 201912161605:3561.0809326171875, 201912161610:3568.1943969726562, 201912161615:3575.307861328125, 201912161620:3582.4213256835938, 201912161625:3589.5347900390625, 201912161630:3596.648193359375, 201912161635:3603.7616577148438, 201912161640:3610.8751220703125, 201912161645:3617.9885864257812, 201912161650:3625.10205078125, 
201912161600:3565.0473022460938, 201912161605:3569.5267639160156, 201912161610:3574.0062255859375, 201912161615:3578.4857177734375, 201912161620:3582.9651794433594, 201912161625:3587.4446411132812, 201912161630:3591.9241333007812, 201912161635:3596.403594970703, 201912161640:3600.883056640625, 201912161645:3605.362518310547, 201912161650:3609.842010498047, 201912161655:3614.3214721679688, 
201912161605:3548.6033935546875, 201912161610:3554.577392578125, 201912161615:3560.5513916015625, 201912161620:3566.525390625, 201912161625:3572.4993896484375, 201912161630:3578.473358154297, 201912161635:3584.4473571777344, 201912161640:3590.421356201172, 201912161645:3596.3953552246094, 201912161650:3602.369354248047, 201912161655:3608.3433227539062, 201912161700:3692.88330078125, 
201912161610:3549.2779541015625, 201912161615:3554.238555908203, 201912161620:3559.1991271972656, 201912161625:3564.1597290039062, 201912161630:3569.120330810547, 201912161635:3574.0809020996094, 201912161640:3579.04150390625, 201912161645:3584.0021057128906, 201912161650:3588.962677001953, 201912161655:3593.9232788085938, 201912161700:3686.7901916503906, 201912161705:3691.750762939453, 
201912161615:3578.0883178710938, 201912161620:3583.445526123047, 201912161625:3588.802734375, 201912161630:3594.159942626953, 201912161635:3599.5171508789062, 201912161640:3604.8743591308594, 201912161645:3610.2315673828125, 201912161650:3615.5888061523438, 201912161655:3620.946014404297, 201912161700:3712.368408203125, 201912161705:3717.725616455078, 201912161710:3723.0828247070312, 
201912161620:3581.5545349121094, 201912161625:3587.4102478027344, 201912161630:3593.2659301757812, 201912161635:3599.1216430664062, 201912161640:3604.977325439453, 201912161645:3610.833038330078, 201912161650:3616.688720703125, 201912161655:3622.544403076172, 201912161700:3708.3138732910156, 201912161705:3714.1695861816406, 201912161710:3720.0252685546875, 201912161715:3725.8809814453125, 
201912161625:3564.2122802734375, 201912161630:3572.141357421875, 201912161635:3580.0704345703125, 201912161640:3587.9994506835938, 201912161645:3595.9285278320312, 201912161650:3603.8576049804688, 201912161655:3611.7866821289062, 201912161700:3671.5851440429688, 201912161705:3679.5142211914062, 201912161710:3687.4432983398438, 201912161715:3695.372314453125, 201912161720:3703.3013916015625, 
201912161630:3585.516571044922, 201912161635:3591.0991821289062, 201912161640:3596.6817626953125, 201912161645:3602.2643432617188, 201912161650:3607.846923828125, 201912161655:3613.4295349121094, 201912161700:3699.535614013672, 201912161705:3705.118194580078, 201912161710:3710.7007751464844, 201912161715:3716.2833557128906, 201912161720:3721.865936279297, 201912161725:3727.4485473632812, 
