201911151135:-158.79135131835938, 201911151140:-165.44589233398438, 201911151145:-172.10043334960938, 201911151150:-178.75497436523438, 201911151155:-185.40951538085938, 201911151200:-128.80123901367188, 201911151205:-135.45578002929688, 201911151210:-142.11032104492188, 201911151215:-148.76486206054688, 201911151220:-155.41943359375, 201911151225:-162.073974609375, 201911151230:-168.728515625, 
201911151135:-161.552001953125, 201911151140:-168.690673828125, 201911151145:-175.829345703125, 201911151150:-182.968017578125, 201911151155:-190.106689453125, 201911151200:-123.5843505859375, 201911151205:-130.7230224609375, 201911151210:-137.86163330078125, 201911151215:-145.00030517578125, 201911151220:-152.13897705078125, 201911151225:-159.27764892578125, 201911151230:-166.41632080078125, 
201911151135:-228.90740966796875, 201911151140:-239.01239013671875, 201911151145:-249.1173095703125, 201911151150:-259.2222900390625, 201911151155:-269.32720947265625, 201911151200:-170.64837646484375, 201911151205:-180.7532958984375, 201911151210:-190.8582763671875, 201911151215:-200.96319580078125, 201911151220:-211.068115234375, 201911151225:-221.173095703125, 201911151230:-231.27801513671875, 
201911151135:-217.4857177734375, 201911151140:-226.96478271484375, 201911151145:-236.44384765625, 201911151150:-245.92291259765625, 201911151155:-255.4019775390625, 201911151200:-165.4261474609375, 201911151205:-174.90521240234375, 201911151210:-184.38427734375, 201911151215:-193.86334228515625, 201911151220:-203.3424072265625, 201911151225:-212.82147216796875, 201911151230:-222.300537109375, 
