201905081010: 0.9,
201905081010: 0.95,
201905081010: 0.75,
201905081200: 0.76,
201905081300: 0.81,
201905081400: 0.91,
201905081500: 0.94,
201905081600: 0.92,
201905081700: 0.92,
201905081800: 0.92,
201905081900: 0.9,
201905082000: 0.85,
201905082100: 0.85,
201905082200: 0.92,
201905082300: 0.89,
201905090000: 0.54,
201905090100: 0.93,
201905090200: 0.62,
201905090300: 0.38,
201905090400: 0.26,
201905090500: 0.23,
201905090600: 0.42,
201905090700: 0.78,
201905090800: 0.99,
201905090900: 0.94,
201905091000: 0.85,
201905091100: 0.83,
201905091200: 0.74,
201905091300: 0.85,
201905091400: 0.98,
201905091500: 0.98,
201905091600: 0.98,
201905091700: 0.98,
201905091800: 0.99,
201905091900: 0.95,
201905092000: 0.9,
201905092100: 0.89,
201905092200: 0.94,
201905092300: 0.87,
201905100000: 0.53,
201905100100: 0.98,
201905100200: 0.62,
201905100300: 0.39,
201905100400: 0.26,
201905100500: 0.22,
201905100600: 0.41,
201905100700: 0.75,
201905100800: 0.95,
201905100900: 0.97,
201905101000: 0.94,
201905101100: 0.96,
201905101200: 0.86,
201905101300: 0.91,
201905101400: 0.99,
201905101500: 0.97,
201905101600: 0.99,
201905101700: 0.98,
201905101800: 0.96,
201905101900: 0.95,
201905102000: 0.92,
201905102100: 0.88,
201905102200: 0.93,
201905102300: 0.93,
201905110000: 0.49,
201905110100: 0.83,
201905110200: 0.71,
201905110300: 0.43,
201905110400: 0.29,
201905110500: 0.24,
201905110600: 0.44,
201905110700: 0.77,
201905110800: 1.0,
201905110900: 0.84,
201905111000: 0.78,
201905111100: 0.77,
201905111200: 0.78,
201905111300: 0.83,
201905111400: 0.89,
201905111500: 0.91,
201905111600: 0.92,
201905111700: 0.96,
201905111800: 0.97,
201905111900: 0.93,
201905112000: 0.87,
201905112100: 0.86,
201905112200: 0.91,
201905112300: 0.93,
201905120000: 0.48,
201905120100: 0.79,
201905120200: 0.77,
201905120300: 0.46,
201905120400: 0.31,
201905120500: 0.26,
201905120600: 0.41,
201905120700: 0.72,
201905120800: 0.98,
201905120900: 0.88,
201905121000: 0.83,
201905121100: 0.84,
201905121200: 0.8,
201905121300: 0.85,
201905121400: 0.9,
201905121500: 0.93,
201905121600: 0.96,
201905121700: 1.0,
201905121800: 0.95,
201905121900: 1.0,
201905122000: 0.95,
201905122100: 0.94,
201905122200: 0.99,
201905122300: 0.86,
201905130000: 0.55,
201905130100: 0.93,
201905130200: 0.63,
201905130300: 0.39,
201905130400: 0.27,
201905130500: 0.23,
201905130600: 0.41,
201905130700: 0.75,
201905130800: 0.96,
201905130900: 0.96,
201905131000: 0.93,
201905131100: 0.92,
201905131200: 0.85,
201905131300: 0.9,
201905131400: 0.98,
201905131500: 0.96,
201905131600: 0.98,
201905131700: 0.98,
201905131800: 0.99,
201905131900: 0.95,
201905132000: 0.88,
201905132100: 0.88,
201905132200: 0.94,
201905132300: 0.89,
201905140000: 0.54,
201905140100: 0.92,
201905140200: 0.62,
201905140300: 0.39,
201905140400: 0.26,
201905140500: 0.24,
201905140600: 0.45,
201905140700: 0.78,
201905140800: 0.96,
201905140900: 0.96,
201905141000: 0.93,
201905141100: 0.93,
201905141200: 0.84,
201905141300: 0.91,
201905141400: 0.98,
201905141500: 0.94,
201905141600: 0.93,
201905141700: 0.92,
201905141800: 0.94,
201905141900: 0.95,
201905142000: 0.97,
201905142100: 0.93,
201905142200: 0.97,
201905142300: 0.88,
201905150000: 0.52,
201905150100: 0.89,
201905150200: 0.65,
201905150300: 0.38,
201905150400: 0.25,
201905150500: 0.22,
201905150600: 0.43,
201905150700: 0.75,
201905150800: 0.93,
201905150900: 0.97,
201905151000: 0.93,
201905151100: 0.93,
201905151200: 0.88,
201905151300: 0.94,
201905151400: 0.94,
201905151500: 0.92,
201905151600: 0.92,
201905151700: 0.92,
201905151800: 0.8,
201905151900: 1.0,
201905152000: 0.94,
201905152100: 0.91,
201905152200: 0.96,
201905152300: 0.86,
201905160000: 0.52,
201905160100: 0.93,
201905160200: 0.61,
201905160300: 0.38,
201905160400: 0.26,
201905160500: 0.24,
201905160600: 0.45,
201905160700: 0.78,
