201905081010: 0.93,
201905081010: 0.93,
201905081010: 0.78,
201905081200: 0.88,
201905081300: 0.92,
201905081400: 0.9,
201905081500: 0.84,
201905081600: 0.86,
201905081700: 0.92,
201905081800: 0.93,
201905081900: 0.97,
201905082000: 0.92,
201905082100: 0.88,
201905082200: 0.99,
201905082300: 0.74,
201905090800: 0.66,
201905090800: 0.67,
201905090800: 0.66,
201905090800: 0.66,
201905090800: 0.67,
201905090800: 0.67,
201905090800: 0.66,
201905090800: 0.65,
201905090800: 0.91,
201905090900: 0.97,
201905091000: 0.99,
201905091100: 0.97,
201905091200: 0.89,
201905091300: 0.97,
201905091400: 0.84,
201905091500: 0.77,
201905091600: 0.78,
201905091700: 0.84,
201905091800: 0.86,
201905091900: 0.9,
201905092000: 0.96,
201905092100: 0.91,
201905092200: 0.97,
201905092300: 0.73,
201905100800: 0.66,
201905100800: 0.66,
201905100800: 0.67,
201905100800: 0.66,
201905100800: 0.66,
201905100800: 0.66,
201905100800: 0.66,
201905100800: 0.66,
201905100800: 0.92,
201905100900: 0.91,
201905101000: 0.93,
201905101100: 0.88,
201905101200: 0.98,
201905101300: 0.95,
201905101400: 0.8,
201905101500: 0.76,
201905101600: 0.79,
201905101700: 0.88,
201905101800: 0.93,
201905101900: 0.98,
201905102000: 0.9,
201905102100: 0.84,
201905102200: 0.92,
201905102300: 0.83,
201905110800: 0.6,
201905110800: 0.59,
201905110800: 0.58,
201905110800: 0.58,
201905110800: 0.59,
201905110800: 0.58,
201905110800: 0.59,
201905110800: 0.58,
201905110800: 0.92,
201905110900: 0.84,
201905111000: 0.83,
201905111100: 0.86,
201905111200: 0.86,
201905111300: 0.91,
201905111400: 0.99,
201905111500: 0.96,
201905111600: 0.92,
201905111700: 0.9,
201905111800: 0.9,
201905111900: 0.95,
201905112000: 0.91,
201905112100: 0.85,
201905112200: 0.92,
201905112300: 0.83,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.58,
201905120800: 0.94,
201905120900: 0.87,
201905121000: 0.84,
201905121100: 0.84,
201905121200: 0.83,
