日期,编码,地区,流量
201910010850,859,兴义,2123.43
201910010855,859,兴义,2151.25
201910010900,859,兴义,2204.96
201910010905,859,兴义,2268.10
201910010910,859,兴义,2349.92
201910010915,859,兴义,2329.92
201910010920,859,兴义,2323.26
201910010925,859,兴义,2366.31
201910010930,859,兴义,2421.74
201910010935,859,兴义,2461.85
201910010940,859,兴义,2431.16
201910010945,859,兴义,2484.69
201910010950,859,兴义,2510.72
201910010955,859,兴义,2617.95
201910011000,859,兴义,2654.03
201910011005,859,兴义,2694.10
201910011010,859,兴义,2734.56
201910011015,859,兴义,2732.04
201910011020,859,兴义,2758.21
201910011025,859,兴义,2743.29
201910011030,859,兴义,2881.03
201910011035,859,兴义,2858.37
201910011040,859,兴义,2853.50
201910011045,859,兴义,2882.38
201910011050,859,兴义,2959.66
201910011055,859,兴义,2832.99
201910011100,859,兴义,2989.98
201910011105,859,兴义,2799.22
201910011110,859,兴义,2926.09
201910011115,859,兴义,2811.36
201910011120,859,兴义,2769.57
201910011125,859,兴义,2737.96
201910011130,859,兴义,2757.26
201910011135,859,兴义,2876.26
201910011140,859,兴义,2814.61
201910011145,859,兴义,2846.55
201910011150,859,兴义,2901.49
201910011155,859,兴义,2781.03
201910011200,859,兴义,2900.46
201910011205,859,兴义,2872.97
201910011210,859,兴义,2831.05
201910011215,859,兴义,2797.61
201910011220,859,兴义,2822.52
201910011225,859,兴义,2693.27
201910011230,859,兴义,2962.19
201910011235,859,兴义,2870.85
201910011240,859,兴义,2971.78
201910011245,859,兴义,2914.82
201910011250,859,兴义,2923.07
201910011255,859,兴义,2751.61
201910011300,859,兴义,2742.26
201910011305,859,兴义,2712.08
201910011310,859,兴义,2757.18
201910011315,859,兴义,2697.55
201910011320,859,兴义,2731.75
201910011325,859,兴义,2542.50
201910011330,859,兴义,2688.32
201910011335,859,兴义,2617.78
201910011340,859,兴义,2679.85
201910011345,859,兴义,2636.97
201910011350,859,兴义,2645.99
201910011355,859,兴义,2563.56
201910011400,859,兴义,2569.09
201910011405,859,兴义,2618.53
201910011410,859,兴义,2544.44
201910011415,859,兴义,2581.33
201910011420,859,兴义,2557.69
201910011425,859,兴义,2555.46
201910011430,859,兴义,2505.54
201910011435,859,兴义,2514.47
201910011440,859,兴义,2534.79
201910011445,859,兴义,2527.91
201910011450,859,兴义,2531.58
201910011455,859,兴义,2532.01
201910011500,859,兴义,2534.70
201910011505,859,兴义,2560.39
201910011510,859,兴义,2511.15
201910011515,859,兴义,2542.95
201910011520,859,兴义,2459.14
201910011525,859,兴义,2448.61
201910011530,859,兴义,2518.35
201910011535,859,兴义,2491.36
201910011540,859,兴义,2563.82
201910011545,859,兴义,2519.54
201910011550,859,兴义,2565.88
201910011555,859,兴义,2487.08
201910011600,859,兴义,2526.77
201910011605,859,兴义,2539.29
201910011610,859,兴义,2472.95
201910011615,859,兴义,2483.81
201910011620,859,兴义,2464.42
201910011625,859,兴义,2463.47
201910011630,859,兴义,2532.14
201910011635,859,兴义,2442.70
201910011640,859,兴义,2442.56
201910011645,859,兴义,2461.89
201910011650,859,兴义,2420.19
201910011655,859,兴义,2428.05
201910011700,859,兴义,2476.27
201910011705,859,兴义,2493.74
201910011710,859,兴义,2339.23
201910011715,859,兴义,2405.42
