日期,编码,地区,流量
201910010850,855,凯里,3190.08
201910010855,855,凯里,3253.16
201910010900,855,凯里,3312.07
201910010905,855,凯里,3460.24
201910010910,855,凯里,3554.13
201910010915,855,凯里,3595.74
201910010920,855,凯里,3519.12
201910010925,855,凯里,3574.10
201910010930,855,凯里,3678.43
201910010935,855,凯里,3768.71
201910010940,855,凯里,3691.97
201910010945,855,凯里,3905.19
201910010950,855,凯里,3874.12
201910010955,855,凯里,3866.40
201910011000,855,凯里,3978.25
201910011005,855,凯里,3990.50
201910011010,855,凯里,4233.48
201910011015,855,凯里,4084.55
201910011020,855,凯里,4063.07
201910011025,855,凯里,4171.98
201910011030,855,凯里,4443.16
201910011035,855,凯里,4463.96
201910011040,855,凯里,4360.52
201910011045,855,凯里,4515.32
201910011050,855,凯里,4493.07
201910011055,855,凯里,4473.36
201910011100,855,凯里,4572.95
201910011105,855,凯里,4315.90
201910011110,855,凯里,4508.41
201910011115,855,凯里,4381.82
201910011120,855,凯里,4237.95
201910011125,855,凯里,4129.96
201910011130,855,凯里,4218.45
201910011135,855,凯里,4231.17
201910011140,855,凯里,4268.60
201910011145,855,凯里,4290.25
201910011150,855,凯里,4320.74
201910011155,855,凯里,4306.05
201910011200,855,凯里,4442.02
201910011205,855,凯里,4303.05
201910011210,855,凯里,4212.64
201910011215,855,凯里,4218.77
201910011220,855,凯里,3963.69
201910011225,855,凯里,4251.37
201910011230,855,凯里,4409.95
201910011235,855,凯里,4211.74
201910011240,855,凯里,4417.20
201910011245,855,凯里,4365.60
201910011250,855,凯里,4232.75
201910011255,855,凯里,3949.60
201910011300,855,凯里,3966.90
201910011305,855,凯里,3888.35
201910011310,855,凯里,3856.73
201910011315,855,凯里,3871.26
201910011320,855,凯里,3893.14
201910011325,855,凯里,3716.20
201910011330,855,凯里,3751.55
201910011335,855,凯里,3777.74
201910011340,855,凯里,3800.02
201910011345,855,凯里,3807.18
201910011350,855,凯里,3798.50
201910011355,855,凯里,3738.21
201910011400,855,凯里,3703.92
201910011405,855,凯里,3686.66
201910011410,855,凯里,3697.39
201910011415,855,凯里,3712.01
201910011420,855,凯里,3643.31
201910011425,855,凯里,3680.74
201910011430,855,凯里,3690.82
201910011435,855,凯里,3712.51
201910011440,855,凯里,3772.57
201910011445,855,凯里,3645.03
201910011450,855,凯里,3714.83
201910011455,855,凯里,3648.02
201910011500,855,凯里,3642.56
201910011505,855,凯里,3754.18
201910011510,855,凯里,3626.86
201910011515,855,凯里,3629.16
201910011520,855,凯里,3672.37
201910011525,855,凯里,3592.86
201910011530,855,凯里,3672.00
201910011535,855,凯里,3611.42
201910011540,855,凯里,3613.99
201910011545,855,凯里,3627.05
201910011550,855,凯里,3672.89
201910011555,855,凯里,3609.92
201910011600,855,凯里,3578.63
201910011605,855,凯里,3687.49
201910011610,855,凯里,3629.67
201910011615,855,凯里,3646.18
201910011620,855,凯里,3548.49
201910011625,855,凯里,3573.64
201910011630,855,凯里,3552.97
201910011635,855,凯里,3553.83
201910011640,855,凯里,3526.27
201910011645,855,凯里,3525.58
201910011650,855,凯里,3529.29
201910011655,855,凯里,3490.67
201910011700,855,凯里,3525.45
201910011705,855,凯里,3485.01
201910011710,855,凯里,3342.42
201910011715,855,凯里,3523.61
201910011720,855,凯里,3448.62
201910011725,855,凯里,3367.56
201910011730,855,凯里,3394.56
201910011735,855,凯里,3503.05
201910011740,855,凯里,3333.64
201910011745,855,凯里,3371.23
201910011750,855,凯里,3354.62
201910011755,855,凯里,3385.34
201910011800,855,凯里,3367.59
201910011805,855,凯里,3295.52
201910011810,855,凯里,3378.00
201910011815,855,凯里,3342.06
201910011820,855,凯里,3359.75
201910011825,855,凯里,3426.45
201910011830,855,凯里,3383.07
201910011835,855,凯里,3486.49
201910011840,855,凯里,3445.81
201910011845,855,凯里,3493.26
201910011850,855,凯里,3471.20
201910011855,855,凯里,3474.09
201910011900,855,凯里,3562.45
201910011905,855,凯里,3590.35
201910011910,855,凯里,3633.33
201910011915,855,凯里,3765.58
201910011920,855,凯里,3735.72
201910011925,855,凯里,3727.19
201910011930,855,凯里,3867.66
201910011935,855,凯里,3996.44
201910011940,855,凯里,3954.25
201910011945,855,凯里,4152.79
201910011950,855,凯里,4108.44
201910011955,855,凯里,4138.66
201910012000,855,凯里,4137.73
201910012005,855,凯里,4209.71
201910012010,855,凯里,4211.62
201910012015,855,凯里,4365.77
201910012020,855,凯里,4229.86
201910012025,855,凯里,4381.04
201910012030,855,凯里,4571.28
201910012035,855,凯里,4584.64
201910012040,855,凯里,4567.45
201910012045,855,凯里,4525.28
201910012050,855,凯里,4543.89
201910012055,855,凯里,4603.37
201910012100,855,凯里,4606.88
201910012105,855,凯里,4658.29
201910012110,855,凯里,4657.54
201910012115,855,凯里,4692.93
201910012120,855,凯里,4773.30
201910012125,855,凯里,4642.47
201910012130,855,凯里,4850.08
201910012135,855,凯里,4758.27
201910012140,855,凯里,4650.01
201910012145,855,凯里,4605.18
201910012150,855,凯里,4646.55
201910012155,855,凯里,4596.70
201910012200,855,凯里,4582.17
201910012205,855,凯里,4563.75
201910012210,855,凯里,4646.66
201910012215,855,凯里,4677.04
201910012220,855,凯里,4568.18
201910012225,855,凯里,4396.20
201910012230,855,凯里,4381.01
201910012235,855,凯里,4344.11
201910012240,855,凯里,4302.42
201910012245,855,凯里,4069.02
201910012250,855,凯里,4252.88
201910012255,855,凯里,4128.01
201910012300,855,凯里,4041.58
201910012305,855,凯里,4019.67
201910012310,855,凯里,3959.24
201910012315,855,凯里,3784.40
201910012320,855,凯里,3742.47
201910012325,855,凯里,3697.84
201910012330,855,凯里,3571.39
201910012335,855,凯里,3458.68
201910012340,855,凯里,3387.85
201910012345,855,凯里,3232.69
201910012350,855,凯里,3173.58
201910012355,855,凯里,3092.80
201910020800,855,凯里,2282.27
201910020805,855,凯里,2365.81
201910020810,855,凯里,2432.00
201910020815,855,凯里,2432.90
201910020820,855,凯里,2511.04
201910020825,855,凯里,2484.05
201910020830,855,凯里,2559.16
201910020835,855,凯里,2563.58
201910020840,855,凯里,2627.81
201910020845,855,凯里,2702.89
201910020850,855,凯里,2711.89
201910020855,855,凯里,2713.78
201910020900,855,凯里,2737.45
201910020905,855,凯里,2824.12
201910020910,855,凯里,2886.16
201910020915,855,凯里,2904.34
201910020920,855,凯里,2901.89
201910020925,855,凯里,2913.87
201910020930,855,凯里,2996.21
201910020935,855,凯里,2926.56
201910020940,855,凯里,2966.50
201910020945,855,凯里,2993.13
201910020950,855,凯里,3012.29
201910020955,855,凯里,3125.63
201910021000,855,凯里,3186.05
201910021005,855,凯里,3110.30
201910021010,855,凯里,3199.46
201910021015,855,凯里,3163.08
201910021020,855,凯里,3237.82
201910021025,855,凯里,3243.29
201910021030,855,凯里,3192.46
201910021035,855,凯里,3198.22
201910021040,855,凯里,3258.76
201910021045,855,凯里,3241.76
201910021050,855,凯里,3330.43
201910021055,855,凯里,3309.38
201910021100,855,凯里,3313.06
201910021105,855,凯里,3352.74
201910021110,855,凯里,3441.48
201910021115,855,凯里,3358.58
201910021120,855,凯里,3329.85
201910021125,855,凯里,3333.40
201910021130,855,凯里,3369.11
201910021135,855,凯里,3360.61
201910021140,855,凯里,3376.17
201910021145,855,凯里,3346.53
201910021150,855,凯里,3448.40
201910021155,855,凯里,3491.54
201910021200,855,凯里,3376.90
201910021205,855,凯里,3499.09
201910021210,855,凯里,3403.70
201910021215,855,凯里,3451.58
201910021220,855,凯里,3508.64
201910021225,855,凯里,3521.47
201910021230,855,凯里,3656.67
201910021235,855,凯里,3613.92
201910021240,855,凯里,3653.79
201910021245,855,凯里,3642.37
201910021250,855,凯里,3636.08
201910021255,855,凯里,3646.82
201910021300,855,凯里,3667.12
201910021305,855,凯里,3709.82
201910021310,855,凯里,3589.68
201910021315,855,凯里,3600.15
201910021320,855,凯里,3583.88
201910021325,855,凯里,3600.59
201910021330,855,凯里,3546.65
201910021335,855,凯里,3548.90
201910021340,855,凯里,3567.19
201910021345,855,凯里,3466.39
201910021350,855,凯里,3355.13
201910021355,855,凯里,3246.57
201910021400,855,凯里,3231.79
201910021405,855,凯里,3259.28
201910021410,855,凯里,3306.83
201910021415,855,凯里,3538.70
201910021420,855,凯里,3504.93
201910021425,855,凯里,3468.27
201910021430,855,凯里,3521.20
201910021435,855,凯里,3552.62
201910021440,855,凯里,3436.21
201910021445,855,凯里,3478.96
201910021450,855,凯里,3504.79
201910021455,855,凯里,3470.37
201910021500,855,凯里,3472.62
201910021505,855,凯里,3491.07
201910021510,855,凯里,3453.90
201910021515,855,凯里,3418.78
201910021520,855,凯里,3410.86
201910021525,855,凯里,3437.83
201910021530,855,凯里,3415.16
201910021535,855,凯里,3515.55
201910021540,855,凯里,3450.03
201910021545,855,凯里,3455.54
201910021550,855,凯里,3436.39
201910021555,855,凯里,3393.34
201910021600,855,凯里,3422.06
201910021605,855,凯里,3406.83
201910021610,855,凯里,3404.76
201910021615,855,凯里,3524.80
201910021620,855,凯里,3414.16
201910021625,855,凯里,3403.52
201910021630,855,凯里,3399.33
201910021635,855,凯里,3358.65
201910021640,855,凯里,3478.25
201910021645,855,凯里,3381.73
201910021650,855,凯里,3456.07
201910021655,855,凯里,3425.20
201910021700,855,凯里,3335.29
201910021705,855,凯里,3395.61
201910021710,855,凯里,3337.00
201910021715,855,凯里,3314.10
201910021720,855,凯里,3333.91
201910021725,855,凯里,3407.21
201910021730,855,凯里,3303.07
201910021735,855,凯里,3362.06
201910021740,855,凯里,3280.46
201910021745,855,凯里,3269.50
201910021750,855,凯里,3291.88
201910021755,855,凯里,3283.84
201910021800,855,凯里,3312.42
201910021805,855,凯里,3200.25
201910021810,855,凯里,3266.58
201910021815,855,凯里,3271.40
201910021820,855,凯里,3354.44
201910021825,855,凯里,3396.74
201910021830,855,凯里,3341.05
201910021835,855,凯里,3378.90
201910021840,855,凯里,3346.25
201910021845,855,凯里,3464.85
201910021850,855,凯里,3364.44
201910021855,855,凯里,3446.00
201910021900,855,凯里,3481.87
201910021905,855,凯里,3558.43
201910021910,855,凯里,3691.81
201910021915,855,凯里,3700.80
201910021920,855,凯里,3733.59
201910021925,855,凯里,3903.56
201910021930,855,凯里,3880.12
201910021935,855,凯里,3946.66
201910021940,855,凯里,3972.15
201910021945,855,凯里,3909.56
201910021950,855,凯里,4171.33
201910021955,855,凯里,4322.61
201910022000,855,凯里,4244.51
201910022005,855,凯里,4318.03
201910022010,855,凯里,4304.87
201910022015,855,凯里,4365.19
201910022020,855,凯里,4430.67
201910022025,855,凯里,4398.42
201910022030,855,凯里,4569.86
201910022035,855,凯里,4517.48
201910022040,855,凯里,4537.38
201910022045,855,凯里,4520.86
201910022050,855,凯里,4613.59
201910022055,855,凯里,4618.72
201910022100,855,凯里,4633.71
201910022105,855,凯里,4626.61
201910022110,855,凯里,4688.90
201910022115,855,凯里,4632.13
201910022120,855,凯里,4669.80
201910022125,855,凯里,4664.89
201910022130,855,凯里,4690.61
201910022135,855,凯里,4674.67
201910022140,855,凯里,4652.10
201910022145,855,凯里,4685.27
201910022150,855,凯里,4698.04
201910022155,855,凯里,4795.45
201910022200,855,凯里,4643.54
201910022205,855,凯里,4713.80
201910022210,855,凯里,4589.42
201910022215,855,凯里,4477.51
201910022220,855,凯里,4557.63
201910022225,855,凯里,4315.29
201910022230,855,凯里,4409.71
201910022235,855,凯里,4298.59
201910022240,855,凯里,4189.72
201910022245,855,凯里,4118.47
201910022250,855,凯里,4119.36
201910022255,855,凯里,4029.63
201910022300,855,凯里,4005.03
201910022305,855,凯里,3889.42
201910022310,855,凯里,3831.79
201910022315,855,凯里,3746.54
201910022320,855,凯里,3652.39
201910022325,855,凯里,3491.37
201910022330,855,凯里,3488.72
201910022335,855,凯里,3398.18
201910022340,855,凯里,3310.61
201910022345,855,凯里,3161.50
201910022350,855,凯里,3229.07
201910022355,855,凯里,3125.25
201910030800,855,凯里,2105.30
201910030805,855,凯里,2224.88
201910030810,855,凯里,2295.31
201910030815,855,凯里,2281.33
201910030820,855,凯里,2354.82
201910030825,855,凯里,2317.17
201910030830,855,凯里,2435.58
201910030835,855,凯里,2424.09
201910030840,855,凯里,2570.42
201910030845,855,凯里,2522.91
201910030850,855,凯里,2617.67
201910030855,855,凯里,2560.77
201910030900,855,凯里,2659.35
201910030905,855,凯里,2631.18
201910030910,855,凯里,2748.18
201910030915,855,凯里,2810.16
201910030920,855,凯里,2733.03
201910030925,855,凯里,2776.29
201910030930,855,凯里,2822.84
201910030935,855,凯里,2907.39
201910030940,855,凯里,2907.95
201910030945,855,凯里,2916.80
201910030950,855,凯里,2946.94
201910030955,855,凯里,2960.24
201910031000,855,凯里,2973.85
201910031005,855,凯里,3041.65
201910031010,855,凯里,2999.31
201910031015,855,凯里,3070.29
201910031020,855,凯里,3044.17
201910031025,855,凯里,3088.54
201910031030,855,凯里,3114.15
201910031035,855,凯里,3161.68
201910031040,855,凯里,3101.36
201910031045,855,凯里,3157.18
201910031050,855,凯里,3185.60
201910031055,855,凯里,3196.96
201910031100,855,凯里,3240.23
201910031105,855,凯里,3251.27
201910031110,855,凯里,3172.56
201910031115,855,凯里,3297.11
201910031120,855,凯里,3223.27
201910031125,855,凯里,3277.07
201910031130,855,凯里,3215.81
201910031135,855,凯里,3347.32
201910031140,855,凯里,3328.82
201910031145,855,凯里,3347.32
201910031150,855,凯里,3327.78
201910031155,855,凯里,3335.14
201910031200,855,凯里,3318.14
201910031205,855,凯里,3482.80
201910031210,855,凯里,3390.13
201910031215,855,凯里,3494.84
201910031220,855,凯里,3510.65
201910031225,855,凯里,3579.77
201910031230,855,凯里,3612.80
201910031235,855,凯里,3741.55
201910031240,855,凯里,3629.01
201910031245,855,凯里,3623.73
201910031250,855,凯里,3723.26
201910031255,855,凯里,3620.74
201910031300,855,凯里,3691.76
201910031305,855,凯里,3616.85
201910031310,855,凯里,3558.04
201910031315,855,凯里,3639.09
201910031320,855,凯里,3668.35
201910031325,855,凯里,3520.03
201910031330,855,凯里,3561.91
201910031335,855,凯里,3517.25
201910031340,855,凯里,3411.89
201910031345,855,凯里,3641.23
201910031350,855,凯里,3458.66
201910031355,855,凯里,3460.74
201910031400,855,凯里,3480.33
201910031405,855,凯里,3395.67
201910031410,855,凯里,3458.27
201910031415,855,凯里,3450.79
201910031420,855,凯里,3455.16
201910031425,855,凯里,3443.15
201910031430,855,凯里,3432.16
201910031435,855,凯里,3484.73
201910031440,855,凯里,3348.34
201910031445,855,凯里,3371.22
201910031450,855,凯里,3440.23
201910031455,855,凯里,3422.37
201910031500,855,凯里,3486.65
201910031505,855,凯里,3385.05
201910031510,855,凯里,3407.65
201910031515,855,凯里,3353.34
201910031520,855,凯里,3377.72
201910031525,855,凯里,3365.29
201910031530,855,凯里,3321.81
201910031535,855,凯里,3381.27
201910031540,855,凯里,3341.67
201910031545,855,凯里,3379.94
201910031550,855,凯里,3366.21
201910031555,855,凯里,3451.22
201910031600,855,凯里,3305.36
201910031605,855,凯里,3329.27
201910031610,855,凯里,3310.40
201910031615,855,凯里,3362.75
201910031620,855,凯里,3405.42
201910031625,855,凯里,3341.82
201910031630,855,凯里,3339.88
201910031635,855,凯里,3279.63
201910031640,855,凯里,3314.62
201910031645,855,凯里,3332.66
201910031650,855,凯里,3198.62
201910031655,855,凯里,3347.15
201910031700,855,凯里,3314.77
201910031705,855,凯里,3270.84
201910031710,855,凯里,3298.66
201910031715,855,凯里,3204.34
201910031720,855,凯里,3211.75
201910031725,855,凯里,3133.38
201910031730,855,凯里,3198.06
201910031735,855,凯里,3217.05
201910031740,855,凯里,3218.61
201910031745,855,凯里,3180.86
201910031750,855,凯里,3183.14
201910031755,855,凯里,3111.09
201910031800,855,凯里,3156.80
201910031805,855,凯里,3135.37
201910031810,855,凯里,3214.22
201910031815,855,凯里,3116.78
201910031820,855,凯里,3148.63
201910031825,855,凯里,3167.70
201910031830,855,凯里,3180.70
201910031835,855,凯里,2925.12
201910031840,855,凯里,3353.61
201910031845,855,凯里,3254.72
201910031850,855,凯里,3323.32
201910031855,855,凯里,3333.98
201910031900,855,凯里,3248.36
201910031905,855,凯里,3317.35
201910031910,855,凯里,3493.47
201910031915,855,凯里,3629.23
201910031920,855,凯里,3657.14
201910031925,855,凯里,3740.23
201910031930,855,凯里,3754.10
201910031935,855,凯里,3770.71
201910031940,855,凯里,3853.75
201910031945,855,凯里,4059.91
201910031950,855,凯里,4001.47
201910031955,855,凯里,4040.38
201910032000,855,凯里,4198.64
201910032005,855,凯里,4142.90
201910032010,855,凯里,4190.85
201910032015,855,凯里,4176.00
201910032020,855,凯里,4004.67
201910032025,855,凯里,3883.34
201910032030,855,凯里,4058.93
201910032035,855,凯里,4331.14
201910032040,855,凯里,4369.80
201910032045,855,凯里,4433.92
201910032050,855,凯里,4416.18
201910032055,855,凯里,4404.72
201910032100,855,凯里,4507.61
201910032105,855,凯里,4399.24
201910032110,855,凯里,4457.69
201910032115,855,凯里,4539.90
201910032120,855,凯里,4521.28
201910032125,855,凯里,4438.45
201910032130,855,凯里,4606.81
201910032135,855,凯里,4475.07
201910032140,855,凯里,4438.04
201910032145,855,凯里,4569.97
201910032150,855,凯里,4561.79
201910032155,855,凯里,4410.78
201910032200,855,凯里,4425.06
