日期,编码,地区,流量
201910010850,850,贵安新区,285.41
201910010855,850,贵安新区,299.47
201910010900,850,贵安新区,313.66
201910010905,850,贵安新区,322.41
201910010910,850,贵安新区,320.51
201910010915,850,贵安新区,326.79
201910010920,850,贵安新区,319.50
201910010925,850,贵安新区,331.93
201910010930,850,贵安新区,333.96
201910010935,850,贵安新区,336.15
201910010940,850,贵安新区,335.13
201910010945,850,贵安新区,340.07
201910010950,850,贵安新区,346.11
201910010955,850,贵安新区,360.71
201910011000,850,贵安新区,386.57
201910011005,850,贵安新区,382.84
201910011010,850,贵安新区,376.59
201910011015,850,贵安新区,373.80
201910011020,850,贵安新区,383.53
201910011025,850,贵安新区,373.15
201910011030,850,贵安新区,395.20
201910011035,850,贵安新区,395.35
201910011040,850,贵安新区,389.35
201910011045,850,贵安新区,402.50
201910011050,850,贵安新区,406.28
201910011055,850,贵安新区,391.41
201910011100,850,贵安新区,394.54
201910011105,850,贵安新区,369.40
201910011110,850,贵安新区,373.26
201910011115,850,贵安新区,363.47
201910011120,850,贵安新区,363.09
201910011125,850,贵安新区,346.25
201910011130,850,贵安新区,357.52
201910011135,850,贵安新区,359.42
201910011140,850,贵安新区,365.72
201910011145,850,贵安新区,369.85
201910011150,850,贵安新区,370.10
201910011155,850,贵安新区,367.84
201910011200,850,贵安新区,357.68
201910011205,850,贵安新区,371.88
201910011210,850,贵安新区,351.15
201910011215,850,贵安新区,348.32
201910011220,850,贵安新区,326.66
201910011225,850,贵安新区,320.64
201910011230,850,贵安新区,366.48
201910011235,850,贵安新区,333.94
201910011240,850,贵安新区,364.28
201910011245,850,贵安新区,358.01
201910011250,850,贵安新区,315.08
201910011255,850,贵安新区,298.21
201910011300,850,贵安新区,296.15
201910011305,850,贵安新区,284.55
201910011310,850,贵安新区,291.15
201910011315,850,贵安新区,289.34
201910011320,850,贵安新区,284.83
201910011325,850,贵安新区,277.29
201910011330,850,贵安新区,288.79
201910011335,850,贵安新区,283.32
201910011340,850,贵安新区,286.76
201910011345,850,贵安新区,282.08
201910011350,850,贵安新区,270.09
201910011355,850,贵安新区,269.97
201910011400,850,贵安新区,266.50
201910011405,850,贵安新区,269.07
201910011410,850,贵安新区,259.33
201910011415,850,贵安新区,264.59
201910011420,850,贵安新区,259.22
201910011425,850,贵安新区,259.06
201910011430,850,贵安新区,270.17
201910011435,850,贵安新区,266.27
201910011440,850,贵安新区,271.59
201910011445,850,贵安新区,260.11
201910011450,850,贵安新区,264.32
201910011455,850,贵安新区,271.50
201910011500,850,贵安新区,260.33
201910011505,850,贵安新区,267.38
201910011510,850,贵安新区,256.08
201910011515,850,贵安新区,266.12
201910011520,850,贵安新区,262.40
201910011525,850,贵安新区,257.97
201910011530,850,贵安新区,249.94
201910011535,850,贵安新区,254.67
201910011540,850,贵安新区,250.00
201910011545,850,贵安新区,251.52
201910011550,850,贵安新区,253.90
201910011555,850,贵安新区,249.11
201910011600,850,贵安新区,257.06
201910011605,850,贵安新区,258.13
201910011610,850,贵安新区,250.58
201910011615,850,贵安新区,249.85
201910011620,850,贵安新区,262.51
201910011625,850,贵安新区,252.59
201910011630,850,贵安新区,265.30
201910011635,850,贵安新区,258.50
201910011640,850,贵安新区,267.87
201910011645,850,贵安新区,259.93
201910011650,850,贵安新区,266.02
201910011655,850,贵安新区,265.91
201910011700,850,贵安新区,257.51
201910011705,850,贵安新区,256.29
201910011710,850,贵安新区,247.30
201910011715,850,贵安新区,250.86
201910011720,850,贵安新区,249.52
201910011725,850,贵安新区,253.12
201910011730,850,贵安新区,249.57
201910011735,850,贵安新区,256.81
201910011740,850,贵安新区,253.11
201910011745,850,贵安新区,256.30
201910011750,850,贵安新区,258.93
