1GS-绕城高速上麦村LHB-JS-1, 202009260100: 9369782.0, 202009260200: 9366292.0, 202009260300: 9368408.0, 202009260400: 9375806.0, 202009260500: 9386314.0, 202009260600: 9388929.0, 202009260700: 9385480.0, 202009260800: 9376759.0, 202009260900: 9371819.0, 202009261000: 9363658.0, 202009261100: 9363274.0, 202009261200: 9369665.0, 202009261300: 9363869.0, 202009261400: 9356047.0, 202009261500: 9346970.0, 202009261600: 9335301.0, 202009261700: 9321566.0, 202009261800: 9320771.0, 202009261900: 9319583.0, 202009262000: 9312962.0, 202009262100: 9302578.0, 202009262200: 9289831.0, 202009262300: 9274314.0, 202009270000: 9268130.0, 202009270000: 9337586.0, 202009280000: 9337719.0, 202009290000: 9333512.0, 202009300000: 9324477.0, 202010010000: 9312222.0, 202010020000: 9295461.0, 202010030000: 9286695.0, 202009270000: 9390585.0, 202009280000: 9391188.0, 202009290000: 9387699.0, 202009300000: 9378114.0, 202010010000: 9364430.0, 202010020000: 9344857.0, 202010030000: 9333222.0, 
4HS-惠水雅水LZB-YZ-1_13, 202009271015: 27909.9, 202009271020: 28357.4, 202009271025: 28614.32, 202009271030: 28992.32, 202009271035: 29273.03, 202009271040: 29497.34, 202009271045: 29732.97, 202009271050: 29917.89, 202009271055: 30116.43, 202009271100: 30288.22, 202009271105: 30440.44, 202009271110: 30571.35, 
贵阳, 202009270700: 23363.69, 202009270800: 43501.24, 202009270900: 80420.74, 202009271000: 98523.51, 202009271100: 95535.72, 202009271200: 93023.13, 202009271300: 96088.15, 202009271400: 104583.01, 202009271500: 103835.22, 202009271600: 98659.34, 202009271700: 98199.47, 202009271800: 99886.9, 202009271900: 100473.69, 202009272000: 101005.73, 202009272100: 106569.87, 202009272200: 113404.08, 202009272300: 114087.86, 202009280000: 107129.21, 202009280100: 85168.95, 202009280200: 27303.15, 202009280300: 11863.05, 202009280400: 13048.1, 202009280500: 21933.01, 202009280600: 35368.39, 
4CS-长顺打傍LZB-ZN-3, 202009260100: 1435123.4, 202009260200: 1434572.6, 202009260300: 1434820.4, 202009260400: 1435902.4, 202009260500: 1437530.6, 202009260600: 1438940.1, 202009260700: 1440025.0, 202009260800: 1440567.8, 202009260900: 1441716.9, 202009261000: 1441767.8, 202009261100: 1442254.6, 202009261200: 1443549.9, 202009261300: 1443024.5, 202009261400: 1442023.4, 202009261500: 1440935.4, 202009261600: 1439623.0, 202009261700: 1438154.4, 202009261800: 1438328.2, 202009261900: 1438361.0, 202009262000: 1438105.6, 202009262100: 1437114.8, 202009262200: 1435512.1, 202009262300: 1434029.0, 202009270000: 1432923.1, 
Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009270000: 1484941.1, 202009280000: 1484692.1, 202009290000: 1483965.1, 202009300000: 1482417.4, 202010010000: 1480441.2, 202010020000: 1478074.2, 202010030000: 1476830.0, 
4HS-惠水雅水LZB-YZ-1_14, 202009271015: 26402.72, 202009271020: 26716.31, 202009271025: 26985.57, 202009271030: 27312.38, 202009271035: 27605.25, 202009271040: 27867.77, 202009271045: 28121.19, 202009271050: 28346.22, 202009271055: 28590.55, 202009271100: 28817.67, 202009271105: 29032.12, 202009271110: 29239.43, 
4CS-长顺打傍LZB-ZN-3, 202009270000: 1422180.5, 202009280000: 1422065.0, 202009290000: 1421571.9, 202009300000: 1420523.9, 202010010000: 1419024.1, 202010020000: 1417778.9, 202010030000: 1417016.8, 202009270000: 1352882.2, 202009280000: 1352929.5, 202009290000: 1352809.2, 202009300000: 1352295.5, 202010010000: 1351430.2, 202010020000: 1350647.8, 202010030000: 1350069.4, 
Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009270000: 1473486.5, 202009280000: 1473198.6, 202009290000: 1472533.8, 202009300000: 1471308.8, 202010010000: 1469805.4, 202010020000: 1468064.9, 202010030000: 1467200.5, 
Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009270000: 1470452.2, 202009280000: 1470222.2, 202009290000: 1469655.2, 202009300000: 1468586.5, 202010010000: 1467283.8, 202010020000: 1465776.8, 202010030000: 1465031.2, 
1GS-绕城高速上麦村LHB-JS-1, 202009270000: 9143435.0, 202009280000: 9143064.0, 202009290000: 9140238.0, 202009300000: 9134667.0, 202010010000: 9127365.0, 202010020000: 9117812.0, 202010030000: 9112789.0, 
4HS-惠水雅水LZB-YZ-1_15, 202009271015: 26946.4, 202009271020: 27405.98, 202009271025: 27677.82, 202009271030: 28071.37, 202009271035: 28370.26, 202009271040: 28615.11, 202009271045: 28876.72, 202009271050: 29092.85, 202009271055: 29318.9, 202009271100: 29515.58, 202009271105: 29688.4, 202009271110: 29832.04, 
4CS-长顺打傍LZB-ZN-3, 202009270000: 1442747.6, 202009280000: 1442503.6, 202009290000: 1441717.0, 202009300000: 1440368.9, 202010010000: 1438598.6, 202010020000: 1437257.1, 202010030000: 1436613.6, 
