Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009260100: 1379488.2, 202009260200: 1365377.8, 202009260300: 1354185.0, 202009260400: 1349472.4, 202009260500: 1349573.6, 202009260600: 1348659.8, 202009260700: 1346494.6, 202009260800: 1341131.9, 202009260900: 1350543.5, 202009261000: 1342920.8, 202009261100: 1345659.4, 202009261200: 1363927.5, 202009261300: 1353568.4, 202009261400: 1344014.0, 202009261500: 1329401.4, 202009261600: 1308180.8, 202009261700: 1285092.9, 202009261800: 1292090.4, 202009261900: 1298406.1, 202009262000: 1303754.1, 202009262100: 1296875.8, 202009262200: 1281946.6, 202009262300: 1258739.9, 202009270000: 1243102.5, 
4CS-长顺打傍LZB-ZN-3, 202009260100: 1683765.9, 202009260200: 1681282.8, 202009260300: 1681950.6, 202009260400: 1686090.0, 202009260500: 1692334.5, 202009260600: 1696934.0, 202009260700: 1700588.0, 202009260800: 1702526.5, 202009260900: 1708839.8, 202009261000: 1710062.1, 202009261100: 1713562.1, 202009261200: 1721133.5, 202009261300: 1718876.0, 202009261400: 1713950.5, 202009261500: 1708532.0, 202009261600: 1701841.5, 202009261700: 1694245.1, 202009261800: 1695716.9, 202009261900: 1696554.0, 202009262000: 1696165.8, 202009262100: 1692367.0, 202009262200: 1685408.8, 202009262300: 1678929.2, 202009270000: 1673909.5, 
1GS-绕城高速上麦村LHB-JS-1, 202009260100: 9747985.0, 202009260200: 9733889.0, 202009260300: 9733496.0, 202009260400: 9743286.0, 202009260500: 9760175.0, 202009260600: 9765234.0, 202009260700: 9761693.0, 202009260800: 9748361.0, 202009260900: 9748057.0, 202009261000: 9732137.0, 202009261100: 9731982.0, 202009261200: 9751217.0, 202009261300: 9735057.0, 202009261400: 9715876.0, 202009261500: 9693194.0, 202009261600: 9660557.0, 202009261700: 9625076.0, 202009261800: 9627631.0, 202009261900: 9630114.0, 202009262000: 9623604.0, 202009262100: 9604641.0, 202009262200: 9577120.0, 202009262300: 9536773.0, 202009270000: 9513942.0, 202009260100: 9608025.0, 202009260200: 9596270.0, 202009260300: 9594635.0, 202009260400: 9600027.0, 202009260500: 9611138.0, 202009260600: 9616779.0, 202009260700: 9616913.0, 202009260800: 9609547.0, 202009260900: 9610374.0, 202009261000: 9598181.0, 202009261100: 9596097.0, 202009261200: 9608726.0, 202009261300: 9597070.0, 202009261400: 9583869.0, 202009261500: 9567944.0, 202009261600: 9544309.0, 202009261700: 9519203.0, 202009261800: 9520794.0, 202009261900: 9522570.0, 202009262000: 9519094.0, 202009262100: 9505666.0, 202009262200: 9485615.0, 202009262300: 9455591.0, 202009270000: 9436595.0, 
Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009260100: 1416458.9, 202009260200: 1410084.0, 202009260300: 1405290.1, 202009260400: 1403584.8, 202009260500: 1404244.5, 202009260600: 1404439.0, 202009260700: 1403790.1, 202009260800: 1401407.6, 202009260900: 1404763.8, 202009261000: 1400952.8, 202009261100: 1401559.0, 202009261200: 1408531.6, 202009261300: 1403674.4, 202009261400: 1399195.0, 202009261500: 1392679.2, 202009261600: 1383491.1, 202009261700: 1373415.2, 202009261800: 1376045.2, 202009261900: 1378093.4, 202009262000: 1379330.6, 202009262100: 1375171.2, 202009262200: 1367588.0, 202009262300: 1356542.2, 202009270000: 1349097.5, 
4CS-长顺打傍LZB-ZN-3, 202009260100: 1635471.1, 202009260200: 1633593.6, 202009260300: 1634124.5, 202009260400: 1637281.1, 202009260500: 1642081.9, 202009260600: 1645872.2, 202009260700: 1648864.2, 202009260800: 1650426.8, 202009260900: 1654878.5, 202009261000: 1655548.0, 202009261100: 1657832.2, 202009261200: 1663072.0, 202009261300: 1661398.8, 202009261400: 1657873.9, 202009261500: 1654008.9, 202009261600: 1649245.0, 202009261700: 1643834.2, 202009261800: 1644767.5, 202009261900: 1645247.6, 202009262000: 1644829.8, 202009262100: 1641911.0, 202009262200: 1636740.8, 202009262300: 1631913.6, 202009270000: 1628183.1, 
1GS-绕城高速上麦村LHB-JS-1, 202009260100: 9772200.0, 202009260200: 9753448.0, 202009260300: 9749978.0, 202009260400: 9756230.0, 202009260500: 9770388.0, 202009260600: 9776637.0, 202009260700: 9776105.0, 202009260800: 9765653.0, 202009260900: 9770784.0, 202009261000: 9754371.0, 202009261100: 9753481.0, 202009261200: 9776257.0, 202009261300: 9758183.0, 202009261400: 9737675.0, 202009261500: 9712749.0, 202009261600: 9674605.0, 202009261700: 9634283.0, 202009261800: 9638752.0, 202009261900: 9644021.0, 202009262000: 9642075.0, 202009262100: 9624163.0, 202009262200: 9595272.0, 202009262300: 9548791.0, 202009270000: 9518468.0, 
Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009260100: 1410032.0, 202009260200: 1405103.6, 202009260300: 1401662.1, 202009260400: 1400831.5, 202009260500: 1401985.0, 202009260600: 1402366.8, 202009260700: 1401750.5, 202009260800: 1399554.2, 202009260900: 1401434.6, 202009261000: 1398189.9, 202009261100: 1398434.2, 202009261200: 1403265.0, 202009261300: 1399249.9, 202009261400: 1395516.8, 202009261500: 1390303.5, 202009261600: 1383198.8, 202009261700: 1375305.5, 202009261800: 1376921.8, 202009261900: 1377917.4, 202009262000: 1377915.1, 202009262100: 1373815.9, 202009262200: 1367218.4, 202009262300: 1358156.1, 202009270000: 1352308.6, 
4CS-长顺打傍LZB-ZN-3, 202009260100: 1755172.2, 202009260200: 1750532.6, 202009260300: 1749311.8, 202009260400: 1752191.9, 202009260500: 1757608.1, 202009260600: 1762272.8, 202009260700: 1766715.6, 202009260800: 1769638.9, 202009260900: 1779208.1, 202009261000: 1781204.9, 202009261100: 1786271.8, 202009261200: 1797268.2, 202009261300: 1795014.8, 202009261400: 1789168.6, 202009261500: 1782412.9, 202009261600: 1773527.5, 202009261700: 1763439.2, 202009261800: 1765885.1, 202009261900: 1768035.5, 202009262000: 1769479.2, 202009262100: 1766247.0, 202009262200: 1758375.1, 202009262300: 1750285.1, 202009270000: 1743020.4, 202009260100: 1625974.6, 202009260200: 1624908.2, 202009260300: 1626084.0, 202009260400: 1629607.2, 202009260500: 1634560.0, 202009260600: 1638138.2, 202009260700: 1640708.2, 202009260800: 1641794.0, 202009260900: 1644962.2, 202009261000: 1645304.2, 202009261100: 1646959.2, 202009261200: 1650891.8, 202009261300: 1649328.9, 202009261400: 1646303.5, 202009261500: 1643071.5, 202009261600: 1639209.0, 202009261700: 1634735.8, 202009261800: 1635311.8, 202009261900: 1635314.0, 202009262000: 1634294.5, 202009262100: 1631311.6, 202009262200: 1626621.9, 202009262300: 1622498.1, 202009270000: 1619637.2, 
1GS-绕城高速上麦村LHB-JS-1, 202009260100: 9497586.0, 202009260200: 9488277.0, 202009260300: 9487930.0, 202009260400: 9494467.0, 202009260500: 9506255.0, 202009260600: 9511804.0, 202009260700: 9511298.0, 202009260800: 9503395.0, 202009260900: 9501475.0, 202009261000: 9489649.0, 202009261100: 9487240.0, 202009261200: 9497023.0, 202009261300: 9487047.0, 202009261400: 9475461.0, 202009261500: 9461590.0, 202009261600: 9441791.0, 202009261700: 9420293.0, 202009261800: 9420611.0, 202009261900: 9420768.0, 202009262000: 9415405.0, 202009262100: 9401948.0, 202009262200: 9383198.0, 202009262300: 9357041.0, 202009270000: 9341693.0, 
