Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009270000: 1462438.2, 202009280000: 1462300.1, 202009290000: 1462021.9, 202009300000: 1461772.0, 202010010000: 1461567.0, 202010020000: 1461396.9, 202010030000: 1461496.8, 
1GS-绕城高速上麦村LHB-JS-1, 202009270000: 9020255.0, 202009280000: 9019734.0, 202009290000: 9018037.0, 202009300000: 9016401.0, 202010010000: 9014902.0, 202010020000: 9013802.0, 202010030000: 9014421.0, 
4CS-长顺打傍LZB-ZN-3, 202009270000: 1258099.1, 202009280000: 1257983.1, 202009290000: 1257739.6, 202009300000: 1257494.0, 202010010000: 1257287.6, 202010020000: 1257213.5, 202010030000: 1257309.9, 
