4HS-惠水雅水LZB-YZ-1, 202009271015: 27189.68, 202009271020: 27712.98, 202009271025: 28016.76, 202009271030: 28469.64, 202009271035: 28798.16, 202009271040: 29046.01, 202009271045: 29287.21, 202009271050: 29456.8, 202009271055: 29672.91, 202009271100: 29863.56, 202009271105: 30039.66, 202009271110: 30210.84, 
Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271015: 6075.19, 202009271020: 6089.26, 202009271025: 6114.32, 202009271030: 6170.26, 202009271035: 6199.0, 202009271040: 6215.47, 202009271045: 6271.24, 202009271050: 6275.69, 202009271055: 6309.28, 202009271100: 6310.52, 202009271105: 6339.96, 202009271110: 6382.01, 
2RH-盐津河LZB-ZN-1, 202009271015: 27792.82, 202009271020: 28220.7, 202009271025: 28515.32, 202009271030: 28912.18, 202009271035: 29233.07, 202009271040: 29502.24, 202009271045: 29769.12, 202009271050: 29988.69, 202009271055: 30231.63, 202009271100: 30451.49, 202009271105: 30654.84, 202009271110: 30846.14, 
4HS-惠水雅水LZB-YZ-1, 202009271015: 27189.68, 202009271020: 27712.98, 202009271025: 28016.76, 202009271030: 28469.64, 202009271035: 28798.16, 202009271040: 29046.01, 202009271045: 29287.21, 202009271050: 29456.8, 202009271055: 29672.91, 202009271100: 29863.56, 202009271105: 30039.66, 202009271110: 30210.84, 
Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271015: 6075.19, 202009271020: 6089.26, 202009271025: 6114.32, 202009271030: 6170.26, 202009271035: 6199.0, 202009271040: 6215.47, 202009271045: 6271.24, 202009271050: 6275.69, 202009271055: 6309.28, 202009271100: 6310.52, 202009271105: 6339.96, 202009271110: 6382.01, 
2RH-盐津河LZB-ZN-1, 202009271015: 27792.82, 202009271020: 28220.7, 202009271025: 28515.32, 202009271030: 28912.18, 202009271035: 29233.07, 202009271040: 29502.24, 202009271045: 29769.12, 202009271050: 29988.69, 202009271055: 30231.63, 202009271100: 30451.49, 202009271105: 30654.84, 202009271110: 30846.14, 
