Y-1YY-MYD云阳双线特大桥LHY-JG-1, 202009270000: 1333137.0, 202009280000: 1336236.2, 202009290000: 1338308.5, 202009300000: 1333086.4, 202010010000: 1323169.2, 202010020000: 1308398.0, 202010030000: 1298611.4, 
4CS-长顺打傍LZB-ZN-3, 202009270000: 1665955.9, 202009280000: 1666594.0, 202009290000: 1666272.1, 202009300000: 1663165.4, 202010010000: 1657517.6, 202010020000: 1652230.8, 202010030000: 1648119.9, 
1GS-绕城高速上麦村LHB-JS-1, 202009270000: 9572284.0, 202009280000: 9574105.0, 202009290000: 9568818.0, 202009300000: 9552566.0, 202010010000: 9529012.0, 202010020000: 9494522.0, 202010030000: 9474202.0, 
