Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271110: 5213.31, 202009271210: 5301.51, 202009271310: 5415.0, 202009271410: 5496.01, 202009271510: 5552.14, 202009271610: 5586.3, 202009271710: 5664.61, 202009271810: 5703.5, 202009271910: 5747.65, 202009272010: 5776.96, 202009272110: 5792.71, 202009272210: 5831.12, 202009272310: 5822.51, 202009280010: 5828.6, 202009280110: 5848.78, 202009280210: 5902.03, 202009280310: 5927.78, 202009280410: 5943.02, 202009280510: 6007.1, 202009280610: 6010.28, 202009280710: 6047.51, 202009280810: 6043.59, 202009280910: 6064.01, 202009281010: 6098.31, 
2RH-盐津河LZB-ZN-1, 202009271110: 23187.12, 202009271210: 23649.77, 202009271310: 24071.86, 202009271410: 24452.33, 202009271510: 24794.24, 202009271610: 25072.89, 202009271710: 25435.8, 202009271810: 25675.85, 202009271910: 25893.19, 202009272010: 26078.92, 202009272110: 26282.21, 202009272210: 26492.29, 202009272310: 26726.49, 202009280010: 27125.98, 202009280110: 27425.27, 202009280210: 27811.22, 202009280310: 28138.92, 202009280410: 28424.53, 202009280510: 28706.02, 202009280610: 28946.92, 202009280710: 29207.51, 202009280810: 29447.3, 202009280910: 29672.43, 202009281010: 29887.22, 
4HS-惠水雅水LZB-YZ-1, 202009271110: 24619.41, 202009271210: 24965.17, 202009271310: 25267.4, 202009271410: 25523.88, 202009271510: 25746.51, 202009271610: 25884.77, 202009271710: 26210.3, 202009271810: 26304.33, 202009271910: 26389.35, 202009272010: 26449.47, 202009272110: 26576.47, 202009272210: 26739.28, 202009272310: 26959.87, 202009280010: 27477.62, 202009280110: 27777.22, 202009280210: 28219.48, 202009280310: 28543.33, 202009280410: 28791.91, 202009280510: 29035.74, 202009280610: 29208.73, 202009280710: 29417.56, 202009280810: 29601.81, 202009280910: 29772.54, 202009281010: 29937.33, 
