2RH-盐津河LZB-ZN-1, 202009271110: 24869.11, 202009271210: 25292.68, 202009271310: 25660.25, 202009271410: 25969.86, 202009271510: 26239.26, 202009271610: 26431.98, 202009271710: 26786.89, 202009271810: 26948.46, 202009271910: 27085.02, 202009272010: 27176.25, 202009272110: 27301.32, 202009272210: 27439.58, 202009272310: 27611.36, 202009280010: 28052.83, 202009280110: 28311.6, 202009280210: 28689.44, 202009280310: 28970.6, 202009280410: 29195.12, 202009280510: 29429.03, 202009280610: 29612.7, 202009280710: 29813.93, 202009280810: 29987.26, 202009280910: 30141.05, 202009281010: 30275.41, 
4HS-惠水雅水LZB-YZ-1, 202009271110: 24735.49, 202009271210: 25091.27, 202009271310: 25398.99, 202009271410: 25660.78, 202009271510: 25887.22, 202009271610: 26031.0, 202009271710: 26355.59, 202009271810: 26453.75, 202009271910: 26542.68, 202009272010: 26607.98, 202009272110: 26740.02, 202009272210: 26908.87, 202009272310: 27138.28, 202009280010: 27656.88, 202009280110: 27962.06, 202009280210: 28410.54, 202009280310: 28739.25, 202009280410: 28992.57, 202009280510: 29240.41, 202009280610: 29417.68, 202009280710: 29635.62, 202009280810: 29826.71, 202009280910: 30004.22, 202009281010: 30178.67, 
Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271110: 5352.12, 202009271210: 5444.53, 202009271310: 5559.44, 202009271410: 5642.8, 202009271510: 5701.06, 202009271610: 5737.64, 202009271710: 5816.77, 202009271810: 5857.14, 202009271910: 5903.3, 202009272010: 5934.44, 202009272110: 5952.03, 202009272210: 5988.89, 202009272310: 5981.97, 202009280010: 5990.69, 202009280110: 6012.33, 202009280210: 6066.4, 202009280310: 6094.16, 202009280410: 6111.93, 202009280510: 6173.56, 202009280610: 6178.01, 202009280710: 6212.79, 202009280810: 6209.78, 202009280910: 6233.09, 202009281010: 6271.17, 
2RH-盐津河LZB-ZN-1, 202009271110: 23240.17, 202009271210: 23709.69, 202009271310: 24130.46, 202009271410: 24500.53, 202009271510: 24826.55, 202009271610: 25088.81, 202009271710: 25426.51, 202009271810: 25646.5, 202009271910: 25837.26, 202009272010: 25988.61, 202009272110: 26149.13, 202009272210: 26310.47, 202009272310: 26489.06, 202009280010: 26834.14, 202009280110: 27073.94, 202009280210: 27391.92, 202009280310: 27650.18, 202009280410: 27868.22, 202009280510: 28087.48, 202009280610: 28270.09, 202009280710: 28463.29, 202009280810: 28634.12, 202009280910: 28787.43, 202009281010: 28924.24, 
4HS-惠水雅水LZB-YZ-1, 202009271110: 24039.46, 202009271210: 24377.22, 202009271310: 24670.1, 202009271410: 24919.38, 202009271510: 25131.3, 202009271610: 25258.19, 202009271710: 25554.37, 202009271810: 25626.28, 202009271910: 25692.74, 202009272010: 25742.73, 202009272110: 25865.93, 202009272210: 26031.12, 202009272310: 26261.51, 202009280010: 26777.27, 202009280110: 27076.18, 202009280210: 27520.16, 202009280310: 27841.47, 202009280410: 28083.05, 202009280510: 28314.58, 202009280610: 28470.35, 202009280710: 28670.16, 202009280810: 28845.12, 202009280910: 29008.26, 202009281010: 29171.96, 
Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271110: 5281.68, 202009271210: 5375.92, 202009271310: 5489.28, 202009271410: 5573.54, 202009271510: 5633.98, 202009271610: 5673.67, 202009271710: 5753.03, 202009271810: 5796.33, 202009271910: 5845.71, 202009272010: 5880.32, 202009272110: 5900.96, 202009272210: 5936.64, 202009272310: 5932.31, 202009280010: 5944.36, 202009280110: 5968.61, 202009280210: 6024.04, 202009280310: 6054.92, 202009280410: 6075.64, 202009280510: 6134.57, 202009280610: 6140.6, 202009280710: 6173.41, 202009280810: 6172.26, 202009280910: 6198.74, 202009281010: 6240.93, 
2RH-盐津河LZB-ZN-1, 202009271110: 23074.2, 202009271210: 23548.25, 202009271310: 23975.21, 202009271410: 24359.02, 202009271510: 24697.27, 202009271610: 24971.59, 202009271710: 25309.67, 202009271810: 25543.43, 202009271910: 25758.36, 202009272010: 25948.53, 202009272110: 26155.01, 202009272210: 26367.47, 202009272310: 26604.17, 202009280010: 26977.23, 202009280110: 27265.17, 202009280210: 27635.59, 202009280310: 27947.58, 202009280410: 28215.22, 202009280510: 28473.57, 202009280610: 28693.2, 202009280710: 28944.18, 202009280810: 29174.43, 202009280910: 29391.18, 202009281010: 29602.69, 
4HS-惠水雅水LZB-YZ-1, 202009271110: 24583.78, 202009271210: 24919.6, 202009271310: 25206.78, 202009271410: 25450.94, 202009271510: 25650.85, 202009271610: 25765.59, 202009271710: 26035.65, 202009271810: 26107.6, 202009271910: 26182.08, 202009272010: 26247.99, 202009272110: 26383.82, 202009272210: 26557.25, 202009272310: 26792.2, 202009280010: 27283.16, 202009280110: 27576.52, 202009280210: 28014.14, 202009280310: 28329.53, 202009280410: 28562.3, 202009280510: 28780.28, 202009280610: 28926.92, 202009280710: 29134.85, 202009280810: 29318.66, 202009280910: 29491.78, 202009281010: 29669.06, 
Y-7JH-ZN财校办公楼LZB-ZD-4, 202009271110: 5296.62, 202009271210: 5382.49, 202009271310: 5485.65, 202009271410: 5562.32, 202009271510: 5615.11, 202009271610: 5647.4, 202009271710: 5721.13, 202009271810: 5759.2, 202009271910: 5804.64, 202009272010: 5833.61, 202009272110: 5847.51, 202009272210: 5875.32, 202009272310: 5867.56, 202009280010: 5879.75, 202009280110: 5903.52, 202009280210: 5959.39, 202009280310: 5988.39, 202009280410: 6004.76, 202009280510: 6057.12, 202009280610: 6058.84, 202009280710: 6088.07, 202009280810: 6087.01, 202009280910: 6117.86, 202009281010: 6163.5, 
