201911151135:-20.339977264404297, 201911151140:-19.851421356201172, 201911151145:-19.36286163330078, 201911151150:-18.874305725097656, 201911151155:-18.38574981689453, 201911151200:-27.62203598022461, 201911151205:-27.13347625732422, 201911151210:-26.644920349121094, 201911151215:-26.15636444091797, 201911151220:-25.667804718017578, 201911151225:-25.179248809814453, 201911151230:-24.690689086914062, 
201911151135:-19.356971740722656, 201911151140:-20.802703857421875, 201911151145:-22.248443603515625, 201911151150:-23.694183349609375, 201911151155:-25.139923095703125, 201911151200:-14.583976745605469, 201911151205:-16.02971649169922, 201911151210:-17.475448608398438, 201911151215:-18.921188354492188, 201911151220:-20.366928100585938, 201911151225:-21.812667846679688, 201911151230:-23.258399963378906, 
201911151135:-19.898094177246094, 201911151140:-19.273345947265625, 201911151145:-18.648597717285156, 201911151150:-18.023853302001953, 201911151155:-17.399105072021484, 201911151200:-29.588031768798828, 201911151205:-28.96328353881836, 201911151210:-28.338539123535156, 201911151215:-27.713790893554688, 201911151220:-27.08904266357422, 201911151225:-26.464298248291016, 201911151230:-25.839550018310547, 
