201911151135:141.20424270629883, 201911151140:140.4770736694336, 201911151145:139.74990463256836, 201911151150:139.02273559570312, 201911151155:138.29557037353516, 201911151200:143.81210708618164, 201911151205:143.0849380493164, 201911151210:142.35776901245117, 201911151215:141.6306037902832, 201911151220:140.90343475341797, 201911151225:140.17626571655273, 201911151230:139.4490966796875, 
201911151135:133.16633224487305, 201911151140:132.69901657104492, 201911151145:132.23169708251953, 201911151150:131.7643814086914, 201911151155:131.29706573486328, 201911151200:133.9484519958496, 201911151205:133.48113632202148, 201911151210:133.0138168334961, 201911151215:132.54650115966797, 201911151220:132.07918548583984, 201911151225:131.61186981201172, 201911151230:131.14455032348633, 
201911151135:136.1578140258789, 201911151140:135.20687103271484, 201911151145:134.25592803955078, 201911151150:133.30498504638672, 201911151155:132.35404205322266, 201911151200:140.74758911132812, 201911151205:139.79664611816406, 201911151210:138.84571075439453, 201911151215:137.89476776123047, 201911151220:136.9438247680664, 201911151225:135.99288177490234, 201911151230:135.0419464111328, 
201911151135:145.25660705566406, 201911151140:144.55724334716797, 201911151145:143.8578758239746, 201911151150:143.15850830078125, 201911151155:142.4591407775879, 201911151200:148.09011840820312, 201911151205:147.39075088500977, 201911151210:146.6913833618164, 201911151215:145.99201583862305, 201911151220:145.2926483154297, 201911151225:144.5932846069336, 201911151230:143.89391708374023, 
201911151135:140.59202575683594, 201911151140:139.61792755126953, 201911151145:138.64382934570312, 201911151150:137.66973114013672, 201911151155:136.6956329345703, 201911151200:145.28003692626953, 201911151205:144.30593872070312, 201911151210:143.33184051513672, 201911151215:142.3577423095703, 201911151220:141.3836441040039, 201911151225:140.4095458984375, 201911151230:139.4354476928711, 
