201911151135:-92.17153930664062, 201911151140:-98.42910766601562, 201911151145:-104.6866455078125, 201911151150:-110.9442138671875, 201911151155:-117.2017822265625, 201911151200:-59.520355224609375, 201911151205:-65.77792358398438, 201911151210:-72.03549194335938, 201911151215:-78.29302978515625, 201911151220:-84.55059814453125, 201911151225:-90.80816650390625, 201911151230:-97.06573486328125, 
201911151135:-79.95223999023438, 201911151140:-84.96075439453125, 201911151145:-89.96926879882812, 201911151150:-94.977783203125, 201911151155:-99.98629760742188, 201911151200:-57.5400390625, 201911151205:-62.548583984375, 201911151210:-67.55709838867188, 201911151215:-72.56561279296875, 201911151220:-77.57412719726562, 201911151225:-82.5826416015625, 201911151230:-87.59115600585938, 
201911151135:-85.30105590820312, 201911151140:-89.64395141601562, 201911151145:-93.98684692382812, 201911151150:-98.32974243164062, 201911151155:-102.67263793945312, 201911151200:-67.47286987304688, 201911151205:-71.81573486328125, 201911151210:-76.15863037109375, 201911151215:-80.50152587890625, 201911151220:-84.84442138671875, 201911151225:-89.18731689453125, 201911151230:-93.53021240234375, 
201911151135:-97.26809692382812, 201911151140:-101.04608154296875, 201911151145:-104.82406616210938, 201911151150:-108.60202026367188, 201911151155:-112.3800048828125, 201911151200:-80.57369995117188, 201911151205:-84.35165405273438, 201911151210:-88.129638671875, 201911151215:-91.90762329101562, 201911151220:-95.68560791015625, 201911151225:-99.46359252929688, 201911151230:-103.2415771484375, 
201911151135:-86.44888305664062, 201911151140:-89.99896240234375, 201911151145:-93.549072265625, 201911151150:-97.09918212890625, 201911151155:-100.64926147460938, 201911151200:-75.50048828125, 201911151205:-79.05059814453125, 201911151210:-82.60067749023438, 201911151215:-86.15078735351562, 201911151220:-89.70089721679688, 201911151225:-93.2509765625, 201911151230:-96.80108642578125, 
