201911151135:107999.287109375, 201911151140:108217.943359375, 201911151145:108436.6015625, 201911151150:108655.2578125, 201911151155:108873.916015625, 201911151200:110987.689453125, 201911151205:111206.345703125, 201911151210:111425.00390625, 201911151215:111643.66015625, 201911151220:111862.31640625, 201911151225:112080.974609375, 201911151230:112299.630859375, 
201911151135:107898.400390625, 201911151140:108122.560546875, 201911151145:108346.72265625, 201911151150:108570.8828125, 201911151155:108795.044921875, 201911151200:110808.330078125, 201911151205:111032.4921875, 201911151210:111256.65234375, 201911151215:111480.814453125, 201911151220:111704.974609375, 201911151225:111929.13671875, 201911151230:112153.296875, 
201911151135:110834.5927734375, 201911151140:111013.0234375, 201911151145:111191.4541015625, 201911151150:111369.884765625, 201911151155:111548.3154296875, 201911151200:113714.150390625, 201911151205:113892.5810546875, 201911151210:114071.01171875, 201911151215:114249.4423828125, 201911151220:114427.873046875, 201911151225:114606.3037109375, 201911151230:114784.734375, 
