201911151135:362152.5078125, 201911151140:362801.87109375, 201911151145:363451.23046875, 201911151150:364100.58984375, 201911151155:364749.953125, 201911151200:370322.4140625, 201911151205:370971.7734375, 201911151210:371621.1328125, 201911151215:372270.49609375, 201911151220:372919.85546875, 201911151225:373569.21484375, 201911151230:374218.578125, 
201911151135:360695.169921875, 201911151140:360932.06640625, 201911151145:361168.962890625, 201911151150:361405.859375, 201911151155:361642.755859375, 201911151200:372035.392578125, 201911151205:372272.287109375, 201911151210:372509.18359375, 201911151215:372746.080078125, 201911151220:372982.9765625, 201911151225:373219.873046875, 201911151230:373456.76953125, 
201911151135:371085.78515625, 201911151140:370864.806640625, 201911151145:370643.828125, 201911151150:370422.8515625, 201911151155:370201.873046875, 201911151200:383712.6875, 201911151205:383491.7109375, 201911151210:383270.732421875, 201911151215:383049.755859375, 201911151220:382828.77734375, 201911151225:382607.798828125, 201911151230:382386.822265625, 
