201911151135:389765.84375, 201911151140:391140.8125, 201911151145:392515.78125, 201911151150:393890.75, 201911151155:395265.71875, 201911151200:398209.515625, 201911151205:399584.484375, 201911151210:400959.453125, 201911151215:402334.421875, 201911151220:403709.390625, 201911151225:405084.359375, 201911151230:406459.328125, 
201911151135:391491.2578125, 201911151140:392872.5078125, 201911151145:394253.7578125, 201911151150:395635.015625, 201911151155:397016.265625, 201911151200:400090.0859375, 201911151205:401471.3359375, 201911151210:402852.5859375, 201911151215:404233.8359375, 201911151220:405615.0859375, 201911151225:406996.3359375, 201911151230:408377.5859375, 
201911151135:399335.71875, 201911151140:400789.84375, 201911151145:402243.9765625, 201911151150:403698.109375, 201911151155:405152.2421875, 201911151200:406373.859375, 201911151205:407827.9921875, 201911151210:409282.125, 201911151215:410736.25, 201911151220:412190.3828125, 201911151225:413644.515625, 201911151230:415098.6484375, 
