201911151135:51667.20166015625, 201911151140:51688.27014160156, 201911151145:51709.33850097656, 201911151150:51730.40686035156, 201911151155:51751.475341796875, 201911151200:53002.8125, 201911151205:53023.88098144531, 201911151210:53044.94934082031, 201911151215:53066.01770019531, 201911151220:53087.086181640625, 201911151225:53108.154541015625, 201911151230:53129.222900390625, 
201911151135:52248.708740234375, 201911151140:52288.594482421875, 201911151145:52328.480224609375, 201911151150:52368.365966796875, 201911151155:52408.251708984375, 201911151200:53482.310791015625, 201911151205:53522.196533203125, 201911151210:53562.082275390625, 201911151215:53601.9677734375, 201911151220:53641.853515625, 201911151225:53681.7392578125, 201911151230:53721.625, 
201911151135:51818.77160644531, 201911151140:51797.29040527344, 201911151145:51775.80920410156, 201911151150:51754.32800292969, 201911151155:51732.84680175781, 201911151200:53405.903076171875, 201911151205:53384.421875, 201911151210:53362.940673828125, 201911151215:53341.45947265625, 201911151220:53319.978271484375, 201911151225:53298.4970703125, 201911151230:53277.015869140625, 
201911151135:51827.56555175781, 201911151140:51848.92687988281, 201911151145:51870.28820800781, 201911151150:51891.64953613281, 201911151155:51913.01086425781, 201911151200:53173.99890136719, 201911151205:53195.36022949219, 201911151210:53216.72155761719, 201911151215:53238.08288574219, 201911151220:53259.44421386719, 201911151225:53280.80554199219, 201911151230:53302.16687011719, 
