201911151135:-247.99420166015625, 201911151140:-258.9967041015625, 201911151145:-269.9991455078125, 201911151150:-281.00164794921875, 201911151155:-292.00408935546875, 201911151200:-200.6348876953125, 201911151205:-211.63739013671875, 201911151210:-222.63983154296875, 201911151215:-233.642333984375, 201911151220:-244.644775390625, 201911151225:-255.64727783203125, 201911151230:-266.64971923828125, 
201911151135:-268.66851806640625, 201911151140:-281.1099853515625, 201911151145:-293.5513916015625, 201911151150:-305.99285888671875, 201911151155:-318.434326171875, 201911151200:-212.0721435546875, 201911151205:-224.5135498046875, 201911151210:-236.95501708984375, 201911151215:-249.396484375, 201911151220:-261.837890625, 201911151225:-274.27935791015625, 201911151230:-286.7208251953125, 
201911151135:-229.506103515625, 201911151140:-242.806884765625, 201911151145:-256.107666015625, 201911151150:-269.40850830078125, 201911151155:-282.70928955078125, 201911151200:-166.72039794921875, 201911151205:-180.02117919921875, 201911151210:-193.32196044921875, 201911151215:-206.62274169921875, 201911151220:-219.92352294921875, 201911151225:-233.22430419921875, 201911151230:-246.525146484375, 
201911151135:-244.3863525390625, 201911151140:-255.8267822265625, 201911151145:-267.26727294921875, 201911151150:-278.70770263671875, 201911151155:-290.148193359375, 201911151200:-191.4967041015625, 201911151205:-202.9371337890625, 201911151210:-214.37762451171875, 201911151215:-225.81805419921875, 201911151220:-237.258544921875, 201911151225:-248.698974609375, 201911151230:-260.13946533203125, 
