201911151135:252955.921875, 201911151140:253555.4296875, 201911151145:254154.94140625, 201911151150:254754.44921875, 201911151155:255353.9609375, 201911151200:259644.6796875, 201911151205:260244.1875, 201911151210:260843.69921875, 201911151215:261443.20703125, 201911151220:262042.71875, 201911151225:262642.2265625, 201911151230:263241.73828125, 
201911151135:250803.6171875, 201911151140:251586.38671875, 201911151145:252369.15625, 201911151150:253151.92578125, 201911151155:253934.6953125, 201911151200:255917.421875, 201911151205:256700.19140625, 201911151210:257482.9609375, 201911151215:258265.73046875, 201911151220:259048.5, 201911151225:259831.26953125, 201911151230:260614.0390625, 
201911151135:252256.69140625, 201911151140:252641.453125, 201911151145:253026.212890625, 201911151150:253410.974609375, 201911151155:253795.736328125, 201911151200:260473.0703125, 201911151205:260857.83203125, 201911151210:261242.59375, 201911151215:261627.35546875, 201911151220:262012.1171875, 201911151225:262396.87890625, 201911151230:262781.638671875, 
201911151135:252560.38671875, 201911151140:253428.76953125, 201911151145:254297.15234375, 201911151150:255165.53515625, 201911151155:256033.91796875, 201911151200:257165.17578125, 201911151205:258033.5625, 201911151210:258901.9453125, 201911151215:259770.328125, 201911151220:260638.7109375, 201911151225:261507.09375, 201911151230:262375.4765625, 
