201911151135:359.6779327392578, 201911151140:360.4968147277832, 201911151145:361.3156967163086, 201911151150:362.1345748901367, 201911151155:362.9534568786621, 201911151200:356.09949493408203, 201911151205:356.91837310791016, 201911151210:357.73725509643555, 201911151215:358.55613708496094, 201911151220:359.37501525878906, 201911151225:360.19389724731445, 201911151230:361.0127754211426, 
201911151135:357.40444803237915, 201911151140:357.32684898376465, 201911151145:357.24924993515015, 201911151150:357.1716504096985, 201911151155:357.094051361084, 201911151200:361.1586112976074, 201911151205:361.0810122489929, 201911151210:361.00341272354126, 201911151215:360.92581367492676, 201911151220:360.8482141494751, 201911151225:360.7706151008606, 201911151230:360.6930160522461, 
201911151135:355.2335433959961, 201911151140:356.4601516723633, 201911151145:357.68675994873047, 201911151150:358.91336822509766, 201911151155:360.13997650146484, 201911151200:348.75365447998047, 201911151205:349.98026275634766, 201911151210:351.20687103271484, 201911151215:352.43348693847656, 201911151220:353.66009521484375, 201911151225:354.88670349121094, 201911151230:356.1133117675781, 
201911151135:357.4581985473633, 201911151140:358.3359069824219, 201911151145:359.21361541748047, 201911151150:360.09131622314453, 201911151155:360.9690246582031, 201911151200:353.55445098876953, 201911151205:354.4321517944336, 201911151210:355.3098602294922, 201911151215:356.18756103515625, 201911151220:357.06526947021484, 201911151225:357.94297790527344, 201911151230:358.8206787109375, 
