201911151135:344138.515625, 201911151140:345649.125, 201911151145:347159.734375, 201911151150:348670.34375, 201911151155:350180.953125, 201911151200:348579.1171875, 201911151205:350089.7265625, 201911151210:351600.3359375, 201911151215:353110.9375, 201911151220:354621.546875, 201911151225:356132.15625, 201911151230:357642.765625, 
201911151135:344420.296875, 201911151140:345562.3125, 201911151145:346704.328125, 201911151150:347846.34375, 201911151155:348988.359375, 201911151200:351119.8359375, 201911151205:352261.8515625, 201911151210:353403.8671875, 201911151215:354545.8828125, 201911151220:355687.8984375, 201911151225:356829.9140625, 201911151230:357971.9296875, 
201911151135:354013.1640625, 201911151140:355075.21875, 201911151145:356137.28125, 201911151150:357199.3359375, 201911151155:358261.3984375, 201911151200:360056.2890625, 201911151205:361118.3515625, 201911151210:362180.40625, 201911151215:363242.46875, 201911151220:364304.5234375, 201911151225:365366.5859375, 201911151230:366428.640625, 
