201910270000,858,六盘水,阅读,270.07
201910270005,858,六盘水,阅读,267.27
201910270010,858,六盘水,阅读,309.81
201910270015,858,六盘水,阅读,272.40
201910270020,858,六盘水,阅读,241.33
201910270025,858,六盘水,阅读,226.99
201910270030,858,六盘水,阅读,216.16
201910270035,858,六盘水,阅读,210.94
201910270040,858,六盘水,阅读,188.39
201910270045,858,六盘水,阅读,195.12
201910270050,858,六盘水,阅读,227.45
201910270055,858,六盘水,阅读,217.72
201910270100,858,六盘水,阅读,207.76
201910270105,858,六盘水,阅读,239.91
201910270110,858,六盘水,阅读,143.05
201910270115,858,六盘水,阅读,136.68
201910270120,858,六盘水,阅读,136.63
201910270125,858,六盘水,阅读,162.74
201910270130,858,六盘水,阅读,159.96
201910270135,858,六盘水,阅读,144.74
201910270140,858,六盘水,阅读,103.41
201910270145,858,六盘水,阅读,88.96
201910270150,858,六盘水,阅读,89.20
201910270155,858,六盘水,阅读,83.63
201910270200,858,六盘水,阅读,98.25
201910270205,858,六盘水,阅读,89.64
201910270210,858,六盘水,阅读,85.63
201910270215,858,六盘水,阅读,103.21
201910270220,858,六盘水,阅读,121.56
201910270225,858,六盘水,阅读,66.39
201910270230,858,六盘水,阅读,87.59
201910270235,858,六盘水,阅读,76.08
201910270240,858,六盘水,阅读,66.10
201910270245,858,六盘水,阅读,60.11
201910270250,858,六盘水,阅读,63.92
201910270255,858,六盘水,阅读,67.08
201910270300,858,六盘水,阅读,76.93
201910270305,858,六盘水,阅读,43.73
201910270310,858,六盘水,阅读,62.78
201910270315,858,六盘水,阅读,56.34
201910270320,858,六盘水,阅读,58.61
201910270325,858,六盘水,阅读,54.43
201910270330,858,六盘水,阅读,35.30
201910270335,858,六盘水,阅读,50.27
201910270340,858,六盘水,阅读,38.81
201910270345,858,六盘水,阅读,37.78
201910270350,858,六盘水,阅读,55.51
201910270355,858,六盘水,阅读,39.06
201910270400,858,六盘水,阅读,49.47
201910270405,858,六盘水,阅读,31.51
201910270410,858,六盘水,阅读,32.92
201910270415,858,六盘水,阅读,47.53
201910270420,858,六盘水,阅读,25.98
201910270425,858,六盘水,阅读,31.29
201910270430,858,六盘水,阅读,45.56
201910270435,858,六盘水,阅读,31.38
201910270440,858,六盘水,阅读,28.86
201910270445,858,六盘水,阅读,33.16
201910270450,858,六盘水,阅读,33.04
201910270455,858,六盘水,阅读,30.22
201910270500,858,六盘水,阅读,29.80
201910270505,858,六盘水,阅读,199.22
201910270510,858,六盘水,阅读,53.82
201910270515,858,六盘水,阅读,31.22
201910270520,858,六盘水,阅读,30.59
201910270525,858,六盘水,阅读,73.86
201910270530,858,六盘水,阅读,68.88
201910270535,858,六盘水,阅读,34.72
201910270540,858,六盘水,阅读,32.14
201910270545,858,六盘水,阅读,23.79
201910270550,858,六盘水,阅读,17.77
201910270555,858,六盘水,阅读,31.39
201910270600,858,六盘水,阅读,48.01
201910270605,858,六盘水,阅读,43.98
201910270610,858,六盘水,阅读,43.37
201910270615,858,六盘水,阅读,62.68
201910270620,858,六盘水,阅读,28.09
201910270625,858,六盘水,阅读,32.88
